NORTHWICH (MARBURY ROAD),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2779/6,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,,,,4.69,2.43,,
February,,,,,,,,,2.13,1.24,,
March,,,,,,,,,1.57,2.39,,
April,,,,,,,,,1.47,2.47,,
May,,,,,,,,,1.69,1.25,,
June,,,,,,,,,2.52,1.42,,
July,,,,,,,,,6.05,4.21,,
August,,,,,,,,,1.58,0.78,,
September,,,,,,,,,0.77,3.58,,
October,,,,,,,,,1.57,3.52,,
November,,,,,,,,,4.31,6.22,,
December,,,,,,,,,1.57,3.01,,
Total,,,,,,,,,29.92,32.52,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.92,32.52,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
