SUTTON ST EDMOND'S - ASHTREE FARM,,,,,,,,
Grid ref,TF372107,Long,0.028,Lat,52.677,Elevation,5,ft
Station no,2524/6,,,,,,,
,,,,,,,,
,1938,1939,1940,1941,1942,1943,1944,
January,2.40,4.06,1.20,2.40,2.48,2.46,1.99,
February,1.02,0.36,2.12,2.26,0.99,0.88,1.09,
March,0.26,1.84,1.78,3.49,0.45,0.19,0.16,
April,0.32,1.59,1.14,0.55,0.61,0.46,2.24,
May,2.18,0.80,0.97,2.53,2.07,2.85,1.05,
June,1.03,1.90,0.72,0.89,0.49,1.50,1.51,
July,1.93,2.38,3.04,2.78,2.87,1.51,1.55,
August,1.38,1.75,0.00,3.16,1.04,1.62,2.08,
September,2.06,1.10,0.23,0.69,1.24,1.49,3.09,
October,2.23,3.88,1.59,2.72,2.52,1.27,2.69,
November,1.62,3.23,5.37,3.29,2.52,1.53,2.85,
December,3.82,1.49,1.41,0.70,1.94,0.43,0.97,
Total,20.25,24.38,19.57,25.46,19.22,16.19,21.27,
,,,,,,,,
TYRain_1931-1940_15_pt1/069,,,,,,,,
TYRain_1941-1950_17_pt1/154,,,,,,,,
