ETTRICK (CROOK COTTAGE),,,,,,,,,,
Grid ref,NT218123,Long,-3.236288,Lat,55.398386,Elevation,925,ft,,
Station no,5060/0/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,5.27
August,,,,,,,,,,4.56
September,,,,,,,,,,5.1
October,,,,,,,,,,3.54
November,,,,,,,,,,10.09
December,,,,,,,,,,7.37
Total,,,,,,,,,,
,,,,,,,,,,
Location number set up as RR4073,,,,,,,,,,
Station 5060/0/3 on 1950s record,,,,,,,,,,
15942,CROOK COTTAGE ,NT2188912300,01/01/1960,31/12/1968,,,,,,
Elevation taken from NGR as not recorded on TYR,,,,,,,,,,
