"ETTRICK (CROOK COTTAGE)",,,,,,,,,,,,
Grid ref,NT218123,Long,-3.236288,Lat,55.398386,,,,,,,
Station no,RR4073,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,-999.00,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,-999.00,,
July,,,,,,,,,,5.27,,
August,,,,,,,,,,4.56,,
September,,,,,,,,,,5.10,,
October,,,,,,,,,,3.54,,
November,,,,,,,,,,10.09,,
December,,,,,,,,,,7.37,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.93,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
