UBLEY-PIXEY-HOLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST533596,Long,-2.67144,Lat,51.33356,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2032/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.64,3.59,5.86,1.12,3.75,2.47,0.8,3.46,5.06,4.55,3.45,4.07,1.89,3.89,3.16,5.28,4.02,4.94,,,,,,,,,,,,
February,,2.48,3.18,0.86,3.92,4.92,5.62,1.21,2.02,3.15,1.24,0.36,4.66,7.35,0.59,4.86,2.02,3.6,2.12,,,,,,,,,,,,
March,0.87,2.97,4.6,3.8,4.68,1.18,3.83,3.1,1.07,4.91,2.73,1.96,2.51,1.74,1.76,0.43,0.95,3.96,2.98,,,,,,,,,,,,
April,2.84,2.58,0.27,3.5,1.9,1.51,1.22,1.95,3.17,2.14,5.72,1.29,3.05,2.4,3.5,1.86,2.63,1.75,1.38,,,,,,,,,,,,
May,2.12,0.9,2.18,3.22,1.81,3.32,3.46,2.24,1.53,0.38,2.12,2.15,0.92,1.48,4.28,5,2.06,1.12,0.66,,,,,,,,,,,,
June,5.1,2.11,4.7,1.55,2.02,0.8,2.65,4.65,1.17,1.09,3.5,0.2,1.56,0.56,3.44,0.01,2.19,3.86,1.82,,,,,,,,,,,,
July,2.6,1.41,3.44,0.61,4.4,5.08,1.13,2.55,6.55,2.06,6.38,0.7,4.4,1.74,3.99,4.28,3.02,4.91,3.67,,,,,,,,,,,,
August,7.2,3.16,7.67,1.52,2.73,2.8,5.04,9,2.36,2.84,1.33,2.56,4.17,3.98,4.83,5.43,2.81,4.77,4.04,,,,,,,,,,,,
September,0.46,1.49,0.6,3.11,1.56,2.16,2.03,3.09,8.7,1.46,1.74,2.41,2.84,3.27,3.31,3.45,1.93,6.15,1.43,,,,,,,,,,,,
October,5.99,2.97,5.14,2.56,2.63,4.35,7.03,6.65,1.62,2.48,3.45,1.29,1.31,4.69,6.01,3.99,5.53,3.27,6.29,,,,,,,,,,,,
November,5.72,4.47,2.25,3.38,4.03,2.21,3.6,0.86,1.79,1.97,2.02,2.08,2.08,3.41,2.83,2.67,7.68,3.66,2.46,,,,,,,,,,,,
December,5.37,7.69,6.39,2.3,6.58,6.68,4.15,0.72,4.15,6.36,3,2.15,5.18,3.69,4.05,3.91,0.59,3.19,3.39,,,,,,,,,,,,
Total,,33.87,44.01,32.27,37.38,38.76,42.23,36.82,37.59,33.9,37.78,20.6,36.75,36.2,42.48,39.05,36.69,44.26,35.18,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Gauge in the open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 Sept 6 Inspection Gauge o/e Sheltering by turf bank recommended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Not printed 10in low ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Aug Turf wall erected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Not printed 10 in low ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Not printed Low Told not required after 1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Not printed Low No longer required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB Annual values rejected from survey 1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
