"PRINCETOWN H.M. PRISON",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1707,,,,,,,,,,,
,MISFILED,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,11.95,,,,,,,,,,,
February,13.10,,,,,,,,,,,
March,4.56,,,,,,,,,,,
April,3.97,,,,,,,,,,,
May,4.70,,,,,,,,,,,
June,7.85,,,,,,,,,,,
July,2.73,,,,,,,,,,,
August,5.29,,,,,,,,,,,
September,3.68,,,,,,,,,,,
October,6.55,,,,,,,,,,,
November,8.43,,,,,,,,,,,
December,15.00,,,,,,,,,,,
Total,87.81,,,,,,,,,,,
Calc annual,87.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
