"PRINCETOWN (HM PRISON)",,,,,,,,,,,,
Grid ref,SX586741,Long,-3.997231,Lat,50.549516,,,,,,,
Station no,1707,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.98,9.06,2.47,4.11,9.74,8.97,11.68,9.06,13.65,9.76,,
February,9.50,1.81,3.76,8.67,5.96,0.43,12.21,9.71,0.59,9.48,,
March,9.49,8.82,2.02,8.19,3.31,3.96,10.93,3.66,9.70,5.91,,
April,4.77,6.84,5.07,1.61,4.14,2.14,0.55,2.29,9.28,7.27,,
May,3.93,4.42,7.12,8.14,8.70,2.01,4.28,8.19,1.93,3.43,,
June,3.45,3.87,6.16,8.17,4.88,5.39,2.62,6.27,2.57,4.57,,
July,4.32,3.30,8.67,8.91,1.43,7.99,7.88,6.74,3.88,9.24,,
August,13.62,9.03,6.08,6.95,1.06,7.36,7.28,11.49,3.28,6.17,,
September,9.62,5.52,8.45,9.99,5.23,12.96,10.32,10.18,0.58,11.28,,
October,2.29,9.93,7.26,10.15,4.85,4.32,7.67,8.11,9.34,14.96,,
November,14.80,7.67,6.80,15.66,9.49,5.11,3.79,7.68,17.04,15.54,,
December,9.68,7.80,2.04,8.39,13.89,11.21,8.48,9.41,19.49,8.93,,
Total,95.45,78.07,65.90,98.94,72.68,71.85,87.69,92.79,91.33,106.54,,
Calc annual,95.45,78.07,65.90,98.94,72.68,71.85,87.69,92.79,91.33,106.54,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
