BOUGHTON BLEAN VICARAGE,,,,,,,,,,,,
Grid ref,TR061593,Long,0.954799,Lat,51.295513,,,,,,,
Station no,RR8303,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,3.14,,
July,,,,,,,,,,2.38,,
August,,,,,,,,,,2.64,,
September,,,,,,,,,,2.98,,
October,,,,,,,,,,6.19,,
November,,,,,,,,,,0.72,,
December,,,,,,,,,,4.22,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.27,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
