BOUGHTON-UNDER-BLEAN-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TR048585,Long,0.93572071,Lat,51.288798,Elevation,116,ft,,,,,,,,,,,,
Station no,RR8303,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,2.44,1.64,2.71,3.73,0.58,2.81,0.84,,,
February,,,,,,,,,,,2.94,0.97,1.43,0.73,3,4.05,3.71,,,
March,,,,,,,,,,,1.86,2.07,3.16,2.25,5.19,0.69,4.5,,,
April,,,,,,,,,,,1.49,1.46,0.07,2.5,1.52,1.47,1.58,,,
May,,,,,,,,,,,3.22,1.29,0.82,0.94,1.1,3.55,,,,
June,,,,,,,,,,3.14,3.35,2.36,2.94,0.68,0.7,0.5,1.99,,,
July,,,,,,,,,,2.38,1.84,0.21,1.46,2.29,3.45,2.5,,,,
August,,,,,,,,,,2.64,1.73,1.44,5.84,1.26,0.99,3.34,,,,
September,,,,,,,,,,2.98,0.9,1.43,3.3,0.99,0.66,2.62,,,,
October,,,,,,,,,,6.19,1.7,5.15,3.26,4.02,2.97,1.48,,,,
November,,,,,,,,,,0.72,4,3.92,2.25,3.35,3.55,3.42,,,,
December,,,,,,,,,,4.22,3.62,5.28,2.28,1.06,6.12,5.75,,,,
Total,,,,,,,,,,,29.09,27.22,29.52,23.8,29.83,32.18,,,,
