"KIRKURD CASTLE CRAIG (DOLPHINTON)",,,,,,,,,,,,
Grid ref,NT136442,Long,-3.375695,Lat,55.683560,,,,,,,
Station no,RR4323,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.11,2.52,,,,,,,3.67,4.30,,
February,2.89,1.77,,,,,,,2.49,2.63,,
March,0.87,2.12,,,,,,,5.63,5.04,,
April,2.38,2.04,,,,,,,4.47,2.46,,
May,1.69,1.83,,,,,,,3.28,2.82,,
June,3.26,,,,,,,,1.06,1.74,,
July,3.30,,,,,,,,1.99,4.02,,
August,3.50,,,,,,,,3.04,2.59,,
September,2.80,,,,,,,,4.54,2.35,,
October,3.60,,,,,,,,0.80,5.43,,
November,3.32,,,,,,,,2.22,1.62,,
December,3.30,,,,,,,,0.83,3.94,,
Total,34.02,,,,,,,,34.02,38.94,,
Calc annual,34.02,10.28,0.00,0.00,0.00,0.00,0.00,0.00,34.02,38.94,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
