"HEREFORD HINTON COURT",,,,,,,,,,,,
Grid ref,SO508391,Long,-2.718838,Lat,52.048095,,,,,,,
Station no,RR4672,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.74,2.75,0.99,4.00,1.39,0.65,0.88,,
February,,,,2.10,4.87,0.76,1.57,0.86,0.85,0.35,,
March,,,,3.80,1.36,3.39,1.00,0.54,3.40,2.38,,
April,,,,1.91,1.18,2.60,0.89,2.55,2.99,2.06,,
May,,,,4.24,1.83,0.94,2.47,2.69,1.59,0.88,,
June,,,,2.52,0.78,2.30,1.98,2.61,1.01,1.56,,
July,,,,2.51,4.56,1.82,0.46,3.34,1.58,2.26,,
August,,,,4.69,1.51,4.63,1.41,1.71,1.77,1.38,,
September,,,,3.07,1.83,1.28,0.92,0.67,4.25,2.73,,
October,,,,5.55,0.90,1.32,4.75,8.03,2.20,2.76,,
November,,,,1.44,1.47,3.15,2.55,2.33,1.18,2.03,,
December,,,,2.03,2.13,0.60,1.67,2.89,2.24,4.05,,
Total,31.00,24.50,25.50,36.60,25.17,23.78,23.67,29.61,23.71,23.32,,
Calc annual,0.00,0.00,0.00,36.60,25.17,23.78,23.67,29.61,23.71,23.32,,
Difference,31.00,24.50,25.50,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
