HEREFORD HINTON COURT,,,,,,,,,,,,,,,,,,,,
Grid ref,SO508391,Long,-2.718838,Lat,52.048095,Elevation,175,ft,,,,,,,,,,,,
Station no,RR4672,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.74,2.75,0.99,4,1.39,0.65,0.88,2.81,1.07,3.73,3.77,0.68,2.51,0.71,1.02,,
February,,,,2.1,4.87,0.76,1.57,0.86,0.85,0.35,3.88,1.19,1.74,1.34,2.91,4.5,3.94,1.17,,
March,,,,3.8,1.36,3.39,1,0.54,3.4,2.38,0.57,1.25,4.63,5.02,2.27,0.48,4.15,2.72,,
April,,,,1.91,1.18,2.6,0.89,2.55,2.99,2.06,2.26,0.89,0.21,4.39,1.46,0.91,0.69,1.24,,
May,,,,4.24,1.83,0.94,2.47,2.69,1.59,0.88,1.6,1.39,2.71,2.29,1.43,3.35,2.95,3.02,,
June,,,,2.52,0.78,2.3,1.98,2.61,1.01,1.56,4.79,2.33,3.89,0.7,2.21,0.71,0.99,2.26,,
July,,,,2.51,4.56,1.82,0.46,3.34,1.58,2.26,1.62,0.24,2.79,0.9,4.27,4.85,1.72,1.95,,
August,,,,4.69,1.51,4.63,1.41,1.71,1.77,1.38,4.93,2.83,6.88,1.16,1.19,2.35,2.69,5.55,,
September,,,,3.07,1.83,1.28,0.92,0.67,4.25,2.73,0.64,1.38,0.72,3.15,1.15,0.89,0.83,2.91,,
October,,,,5.55,0.9,1.32,4.75,8.03,2.2,2.76,3.79,1.93,3.03,4.19,2.15,4.03,4.08,2.59,,
November,,,,1.44,1.47,3.15,2.55,2.33,1.18,2.03,3.93,2.71,1.41,2.49,2.63,2.16,2.83,0.86,,
December,,,,2.03,2.13,0.6,1.67,2.89,2.24,4.05,6.13,8.14,3.14,0.92,5.98,5.35,1.87,0.7,,
Total,,,,36.6,25.17,23.78,23.67,29.61,23.71,23.32,36.95,25.35,34.88,30.32,28.33,32.09,27.45,25.99,,
,,,,,,,,,,,,,,,,,,,,
"1900,1901,1902 totals apportioned from Owen Street gauge, therefore removed",,,,,,,,,,,,,,,,,,,,
