DOUGLAS HEAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SC 39032 74765,Long,-4.465813,Lat,54.143424,Elevation,25,ft,,,,,,,,,,,,
Station no,RR2691,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,5.8,7,6.3,4.4,4.4,8.2,4.6,4.8,5.4,3.43,3.37,8.54,,,,,,,
February,,6.8,2,1.2,1.4,4.1,5.2,4.3,3.8,4.61,2.89,3.28,4.9,,,,,,,
March,,7.8,4.5,1.5,5.8,2.8,3.4,3.4,5,1.6,2.18,1.25,3.6,,,,,,,
April,,1.2,5,1.6,2.7,0.7,1.3,5.5,1.9,2.32,0.33,4.25,1.48,,,,,,,
May,2.2,0.3,3.7,2.3,1.2,3.8,1,2.8,2,2.43,1.08,0.45,1.8,,,,,,,
June,4.1,5.8,2.7,2.4,1.9,0.8,2.7,0.6,0.1,0.96,0.63,1.12,4.18,,,,,,,
July,1.7,5.5,4,0.5,0.9,1.2,2.7,3.1,0,0.36,0.55,1.7,3.4,,,,,,,
August,5.7,6.8,2.8,5.8,2.6,2.7,3.8,3.5,3.8,0.99,1.65,3.72,4.25,,,,,,,
September,2,8.3,0.9,3.9,4.4,0.7,6.7,3.5,1.5,4.15,1.42,1.21,5.82,,,,,,,
October,10.6,3.5,5.5,6.3,3.5,4.3,2.9,5.9,2.3,0.76,5.65,6.51,4.37,,,,,,,
November,2.2,8.9,3.2,5.3,4.9,4.6,7.4,0.9,1.87,3.42,2.2,4.55,5.6,,,,,,,
December,2.3,3.2,5.3,3,3.9,3.7,7.5,5.5,7.43,4.65,1.63,5,,,,,,,,
Total,,63.9,46.6,40.1,37.6,33.8,52.8,43.6,34.5,31.65,23.64,36.41,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1872 Investigation into why readings low,,,,,,,,,,,,,,,,,,,,
1872 D+T deleted estimated,,,,,,,,,,,,,,,,,,,,
