DALMAHOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT144686,Long,-3.370653,Lat,55.902873,Elevation,358,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,1.82,1.07,4.92,1.32,1.59,0.99,3.47,2.22,1.15,1.23,1.23,4.69,4.57,2.5,1.45,,,,,,,
February,,,,,,,,,1.99,1.94,0.92,0.23,2.9,3.94,7.81,0.61,1.14,1.97,1.78,1.53,3.85,1.17,0.96,,,,,,,
March,,,,,,,,,4.6,1.38,1.93,4.26,1.66,0.93,2.24,3.22,2.17,3.46,1.62,2.48,1.77,2.38,1.25,,,,,,,
April,,,,,,,,,1.3,3.16,0.82,0.65,0.96,1.19,1.82,1.4,1.1,1.46,2.11,3.08,2.04,2.09,1.61,,,,,,,
May,,,,,,,,,1.18,2.37,2.11,1.49,2.87,1.98,3.47,1.13,0.43,1.7,1.87,3.91,1.76,2.54,3.04,,,,,,,
June,,,,,,,,,2.76,1.22,3.07,0.91,3.33,2.38,2.75,2.78,3.54,3.62,1.95,1.49,4.32,2.22,2.21,,,,,,,
July,,,,,,,,,6.14,4.32,3,2.22,1.43,3.08,2.83,4.68,4.98,1.68,1.42,4.18,3.56,1.25,3.22,,,,,,,
August,,,,,,,,,1.67,6.57,4.02,5.33,4.88,2.97,4.44,5.73,1.82,3.09,3.75,0.64,5.15,3.96,1.36,,,,,,,
September,,,,,,,,,0.66,1.15,2.44,5.4,2.02,1.6,0.44,0.69,3.54,2.26,2.56,3.74,2.39,1.38,1.42,,,,,,,
October,,,,,,,,,1.4,3.78,2.27,2.59,4.36,3.56,4.15,3.18,4.16,1.23,5.16,2.52,4.38,2.14,1.71,,,,,,,
November,,,,,,,,,6,0.63,5.74,2.28,1.72,1.73,1.76,3.27,0.65,2.65,4.64,4.55,4.92,3.09,1.21,,,,,,,
December,,,,,,,,,1.73,2.28,1.99,6.79,1.78,2.98,2.67,3.12,4.22,3.54,2.88,2.44,5.95,3.19,2.8,,,,,,,
Total,,,,,,,,,31.25,29.87,33.23,33.47,29.5,27.33,37.85,32.03,28.9,27.89,30.97,35.25,44.66,27.91,22.24,,,,,,,
