"DALMAHOY",,,,,,,,,,,,
Grid ref,NT144686,Long,-3.370653,Lat,55.902873,,,,,,,
Station no,RR2886,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.57,2.50,1.45,,,,,,,,,
February,3.85,1.17,0.96,,,,,,,,,
March,1.77,2.38,1.25,,,,,,,,,
April,2.04,2.09,1.61,,,,,,,,,
May,1.76,2.54,3.04,,,,,,,,,
June,4.32,2.22,2.21,,,,,,,,,
July,3.56,1.25,3.22,,,,,,,,,
August,5.15,3.96,1.36,,,,,,,,,
September,2.39,1.38,1.42,,,,,,,,,
October,4.38,2.14,1.71,,,,,,,,,
November,4.92,3.09,1.21,,,,,,,,,
December,5.95,3.19,2.80,,,,,,,,,
Total,44.66,27.91,22.24,,,,,,,,,
Calc annual,44.66,27.91,22.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
