FARNHAM-CULVERLANDS,,,,,,,,,,,,,,,,,,,,
Grid ref,SU856468,Long,-0.77539,Lat,51.21437,Elevation,300,ft,,,,,,,,,,,,
Station no,RR4129,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,1.97,2.94,4.33,3.9,1.47,2.36,5.21,3.52,1.64,4.32,,,,
February,,,,,,,3.64,1.98,1.79,2.77,2.45,1.34,2.17,1.68,2.29,2.62,,,,
March,,,,,,,1.82,2.29,1.55,1.11,1.96,1.31,2.19,2.25,0.58,0.66,,,,
April,,,,,,,2.07,2.4,2.19,1.17,0.41,3.5,1.29,0.59,2.43,,,,,
May,,,,,,,1,1.2,1.01,4.62,1.3,0.45,2.66,1.19,0.85,,,,,
June,,,,,,,2.68,1.38,0.51,1.42,0.55,2.96,2.93,1.78,2.5,,,,,
July,,,,,,,1.9,4.55,2.53,1.12,0.29,4.05,3.25,2.34,1.13,,,,,
August,,,,,,,2.76,1.76,3.2,1.37,1.37,1.67,2.18,1.93,2.34,,,,,
September,,,,,,,5.01,2.01,3.06,4.97,1.9,5.25,1.68,2.69,3.1,,,,,
October,,,,,,,1.6,2.92,2.44,1.71,3.34,1.54,5.12,2.94,4.48,,,,,
November,,,,,,,2,0.67,1.69,2.18,1.9,0.44,3.98,2.13,2.81,,,,,
December,,,,,,,2.73,1.41,6.93,3.55,2.77,1.71,5,0.56,2.48,,,,,
Total,,,,,,,29.18,25.51,31.23,29.89,19.71,26.58,37.66,23.6,26.63,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is where gauge was noted to be but elevation well out Nearer 255ft,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1866 Gauge not regularly measured during Jan Feb Mar and May,,,,,,,,,,,,,,,,,,,,
1875 Gauge moved to West St in Apr but observations ended in Sept,,,,,,,,,,,,,,,,,,,,
