FARNHAM-CULVERLANDS-(WEST-ST),,,,,,,,,,
Grid ref,SU834465,Long,-0.80725,Lat,51.21216,Elevation,270,ft,,
Station no,RR4129,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,1.62,,,,
May,,,,,,1.29,,,,
June,,,,,,3.1,,,,
July,,,,,,6.7,,,,
August,,,,,,1.01,,,,
September,,,,,,1.71,,,,
October,,,,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
Completely unknown where this gauge was so NGR is at higher end of street where houses existed in 1875,,,,,,,,,,
