AFON-MYNACH-HAFOD-HWYDOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH898436,Long,-3.6427126,Lat,52.978381,Elevation,1189,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4327/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.8,9.8,10,12.9,11.65,2.89,2.9,5.47,9.59,11.57,6.93,14.28,7.11,16.54,6.38,3.27,,10.17,,7.06,6.5,7.84,13.74,7.12,9.78,11.72
February,,,,,12.5,3.1,9.4,3.9,9.13,4.12,7.04,2.85,5.61,3.2,9.3,14.78,1.97,7.16,4.2,11.75,,2.67,3.81,5.65,,1.01,6.49,11.14,1.42,8.21
March,,,,,2.5,4.5,3.7,2.8,5.66,5.04,5.1,3.09,1.48,1.91,3.14,2.66,10.29,4.3,3.23,4.32,,,4.62,5.67,,3.98,6.74,1.72,3.81,2.28
April,,,,,5.2,2.1,5.5,0.5,4,4.03,1.56,4.11,4.01,,3.73,1.47,7.97,2.48,6.06,,6.28,,5.78,2.8,,1.99,1.29,1.88,7.31,4.37
May,,,,,1.5,2.8,2.5,3.9,1.12,3.04,3.9,4.92,7.26,4.31,4.85,,5.38,2.21,5.41,,2.79,,2.7,5.8,7.25,2.24,3.54,6.35,1.73,2.23
June,,,,,8,6.5,2,7.69,3.83,1.2,0.45,1.35,6.71,6.92,5.56,7.85,4,6.81,1.09,,1.52,,,5.59,6.38,2.33,1.83,3.7,3.21,3.05
July,,,,1.6,1.5,8.5,2.3,6.04,10.02,6.33,2.02,6.45,4,4.35,3.52,2.45,4.73,,3.5,,2.19,,8.29,7.14,1.16,5.49,10.38,6.04,6.25,5.88
August,,,,6.8,3,1.5,1.2,5.71,1.99,1.65,6.43,4.57,8.84,2.68,3.55,7.71,0.74,,4.58,,6.82,,5.49,7.6,1.21,8.67,10.5,6.24,1.06,4.14
September,,,,4.8,10.5,7.7,2.1,2.63,1.33,5.14,1.82,5.16,7.19,8.55,4.18,6.89,2.8,,2.04,,7.43,6.48,7.9,6.27,2.65,5.03,15.37,9.62,0.54,7.81
October,,,,9.7,13.4,7.8,3.3,14.93,4.18,8.37,8.46,7.69,5.01,6.96,6.64,1.39,1.42,,12.22,,1.13,9.25,,14.24,5.7,4.9,9.76,7.14,9.21,4.76
November,,,,1.6,9.4,9,2.6,11.91,16.13,12.85,5.64,1.38,7,12.98,1.17,11.63,8.74,,7.1,,12.47,4.28,9.61,10.45,2.89,3.79,2.92,2.61,7.04,16.22
December,,,,11.4,3.8,12.7,4.8,6.05,5.29,5.54,5.23,7.99,3.21,10.1,6.51,8.79,7.92,7.7,13.46,,15.05,,2.32,4.84,8.51,8.91,6.64,6.41,15.86,9.52
Total,,,,,74.1,76,49.4,78.96,74.33,60.2,50.55,55.03,69.91,,59.08,,63.07,,69.27,,,,,83.11,,56.18,89.2,69.97,67.22,80.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is Hafod Hwydog. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
