BIRMINGHAM-WW-GLAN-FEDWEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN871759,Long,-3.659682,Lat,52.369477,Elevation,1375,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4244/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,13,11.42,3.25,4.23,9.5,8.55,9.6,6.04,8.95,5.25,16.29,6.02,4.31,8.03,9.58,3.53,8.31,5.02,11.05,7.7,7.85,9.3,11.62
February,,,,,,,,5.25,8.82,5.6,7.45,2.33,6,4.72,9.58,12.9,3.5,6.46,3.9,11.51,8.35,6.13,3.95,6.45,5.1,1.55,6.49,12.07,1.48,8.5
March,,,,,,,,2.84,4.12,5,5.6,4.27,1.94,1.3,3.4,1.09,12.6,4.5,5.44,3.77,10.27,3.57,7.03,6,4.5,5.52,6.6,1.96,4.36,3.27
April,,,,,,,,0.95,5,4.41,2.75,4.1,2.7,2.41,3.27,2.42,4.61,4.6,6.39,6.35,8.67,2.9,5.91,2.67,5.69,3.28,0.48,3.21,6.18,6.41
May,,,,,,,,3.5,1.1,3.35,4.7,7.1,5.25,3.2,4.6,2.88,3.78,2.95,5,1.87,3.7,3.85,3.4,4.27,9.1,1.75,3.69,4.81,3.17,2.29
June,,,,,,,,6.3,3.53,1.17,1.65,0.7,5.8,3.7,6.4,4.8,3.09,7.38,0.65,2.78,1.98,4.62,2.47,6.38,8.47,4.48,2.67,5.02,4.74,3.14
July,,,,,,,,6.19,10.27,9.63,2.98,8.7,5.49,4.36,2.84,5.71,4.8,3.62,4.15,5.2,4.07,2.96,9.61,8.05,1.87,6.27,10.47,6.35,6.1,7.7
August,,,,,,,,5.1,4.11,2.35,10.14,4.45,7.5,3.65,4.95,9.7,0.67,7.03,4.05,9.08,7.1,6.2,6.01,8.37,2.47,8.92,12.9,4.95,0.76,6.07
September,,,,,,,,2.9,0.96,6.1,2.25,5.44,7.48,7.43,4.77,11.21,4.11,6.05,2.44,13.38,4.9,6.33,6.35,9.47,6.32,7.02,14.7,10.1,0.71,5.62
October,,,,,,,,11.05,2.82,8.21,7.77,11.03,6.3,10.95,5.9,3,1.18,6.27,9.58,4.95,2.35,7.15,3.4,13.38,5.82,5.2,9.74,7.92,11.43,6.8
November,,,,,,,,10,17.81,15.42,5.5,1.3,8.35,11.45,1,11.75,10.62,4.1,10.57,9.65,14.2,5.76,7.4,13.6,4.03,5.85,5.76,4.22,7.34,11.85
December,,,,,,,,8.62,7.3,7.48,6.8,10.67,4,7.48,8.12,7.03,8.86,9,14.39,5.25,10.92,7.53,2.85,12.5,8.34,9.03,9.33,6.05,12.82,11.06
Total,,,,,,,,75.7,77.26,71.97,61.82,69.59,69.36,70.25,60.87,81.44,63.07,78.25,72.58,78.1,84.54,66.58,61.91,99.45,66.73,69.92,90.53,74.51,68.39,84.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record. Altitudes match. Long/Lat on 1930s record has wrong longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb and Mar 1947 readings are noted as being estimated for snow, but left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
