WATERHOUSES (CLIFFORD HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,NZ179434,Long,-1.7231913,Lat,54.785185,Elevation,600,ft,,,,,,,,,,,,
Station no,3540/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.64,3.88,2.31,3.56,1,4.41,1.96,,,,
February,,,,,,,,,,2.02,6.73,2.69,0.85,2.67,1.63,0.48,,,,
March,,,,,,,,,,2.07,2.69,1.06,0.6,0.43,0.41,1.85,,,,
April,,,,,,,,,,1.47,1.11,1.45,1.34,1.67,1.99,1.65,,,,
May,,,,,,,,,,1.48,1.59,1.75,3.13,1.92,2.88,2.16,,,,
June,,,,,,,,,,0.99,0.68,1.45,1.32,1.82,2.52,1.37,,,,
July,,,,,,,,,,4.82,0.69,3.19,1.36,3.04,2.08,3.24,,,,
August,,,,,,,,,,0.79,2.12,2.09,4.31,1.63,4.13,4.04,,,,
September,,,,,,,,,,1.25,0.42,3.24,2.89,5.84,2.12,4.62,,,,
October,,,,,,,,,,3.58,2.91,2.3,1.98,4.12,3.72,1.07,,,,
November,,,,,,,,,,3.75,3.35,0.62,2.4,5.33,1.41,5.72,,,,
December,,,,,,,,,,2.4,0.32,2.11,1.32,1.45,1.7,2.7,,,,
Total,,,,,,,,,,26.26,26.49,24.26,25.06,30.92,29,30.86,,,,
