PORT WILLIAM (MONREITH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX361433,Long,-4.548607,Lat,54.757819,Elevation,145,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,4.22,3.07,3.65,4.3,1.75,5.16,3.35,4.72,5.18,5.11,1.94,7.97,5.9,3.73,4.72,6.08,5.2,7.63,2.25,2.27,4.59,3.49,1.73,3.37,3.01,4.61,3.9,5.11,1.69,4.15
February,2.79,0.01,3.96,0.44,3.83,1.94,6.04,2.04,3.23,2.44,3.41,2.33,2.23,1.36,5.23,2.44,0.78,1.96,2.03,3.75,2.65,0.56,1.01,3.65,3.24,0.99,3.36,4.05,1.75,3.27
March,1.01,2.78,1.92,2.7,1.25,2.16,1.43,1.11,2.64,5.11,2.97,4.3,0.64,0.42,1.65,2.98,6.72,1.39,2.68,2.83,3.36,2.27,0.49,3.47,2.68,1.8,3.58,1.7,2.8,2.22
April,1.92,3.65,1.48,2.95,3.06,0.59,2.76,0.26,1.69,2.46,1.7,2.15,2.37,2.67,2.31,1.01,4.32,1.73,2.69,2.83,1.23,1.45,2.12,0.85,2.8,1.56,2.13,1.08,2.92,2.95
May,2.24,3.3,2.01,3.94,0.53,3.56,2.14,3.51,1,1.49,3.16,2.81,4.16,1.76,3.01,1.34,4.97,0.92,0.84,1.77,1.99,1.95,3.04,2.75,3.43,1.05,2.93,3.31,1.04,2.23
June,5.31,1.25,2.5,1.78,3.18,2.96,2.93,4.14,1.71,0.71,1.26,0.96,2.93,2.5,3.07,2.32,4.35,4.19,0.72,2.54,1.91,2.2,1.03,3.06,4.51,2.91,1.48,4.4,2.82,1.96
July,3.61,2.72,3.02,2.58,1.77,5.92,5.56,5.23,4.29,4.29,3.29,3.33,2.59,3.13,2.63,2.84,3.18,2.64,2.68,3.06,2.34,2.2,4.45,4.41,2.02,4.15,5.47,3.83,2.22,4.14
August,3.74,2.08,1.93,4.61,1.56,2.81,2.23,3.01,1.59,1.11,5.47,4.63,6.77,4.33,1.87,4.08,0.09,3.52,2.55,6.23,4.35,4.53,2.46,3.96,1.33,7.32,3.16,3.97,0.52,4.28
September,3.6,6.16,0.62,5.02,5.16,4.91,2.36,4.72,3.71,3.4,1.89,5.17,3.05,6.26,3,5.95,4.09,4.72,2.38,8.14,3.95,2.83,5.78,4.41,2.31,5.37,4.99,5.05,2.38,3.87
October,2.97,5.91,2.55,6.01,6.64,2.95,2.89,7.67,3.96,4.97,5.09,5.57,5.26,6.35,4.47,0.67,1.34,5.17,5.26,3.6,0.63,4.18,3.85,8.42,2.11,2.29,4.48,4.29,4.83,6.27
November,8.77,2.88,2.49,2,5.97,3.44,1.68,6.73,4.77,7.08,3.23,0.49,3.75,7.14,0.36,7.19,6.01,4.43,4.09,3.06,7.4,2.93,4.97,7.54,3.01,1.94,2.53,2.62,5.13,7.34
December,4.55,5.45,1.87,9.6,5.01,4,5.36,3.99,2.43,5.06,1.72,6.01,2.31,4.07,4.36,4.83,2.01,4.41,5.09,2,6.8,3.8,3.48,4.26,4.65,4.17,3.88,5.43,6.61,3.33
Total,44.73,39.26,28,45.93,39.71,40.4,38.73,47.13,36.2,43.23,35.13,45.72,41.96,43.72,36.68,41.73,43.06,42.71,33.26,42.08,41.2,32.39,34.41,50.15,35.1,38.16,41.89,44.84,34.71,46.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Oct 2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
