DORNOCH (OSPISDALE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH714897,Long,-4.17011,Lat,57.878177,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.46,4.85,2.97,4.78,2.96,0.97,2.83,2.12,1.66,4.29,4.35,1.33,1.83,3.99,4.71,3.36,3.03,3.29,2.23,2.3,1.92,3.25,3.15,3.6,5.98,4.33
February,,,,,2.45,2.52,4.5,2.31,1.98,1.25,2.58,2.61,3.55,2.71,2.64,3.3,1.74,2.4,2.36,2.39,1.92,2.24,1.87,2.15,3.19,1.65,1.85,3.76,0.89,2.86
March,,,,,2.17,1,2.62,1.34,2.72,2.03,2.82,1.53,1.96,2.61,1.54,1.34,1.8,1.33,3.19,1.19,3.07,2,1.16,1.86,1.55,1.42,2.61,1.61,1.68,0.85
April,,,,,3.46,1.23,0.4,0.93,1.98,3.76,1.75,1.8,3.11,2.41,2.28,1.25,2.49,2.9,2.35,3.81,4.59,0.72,1.88,1.3,1.42,1.8,1.11,1.79,3.15,2.45
May,,,,,2.14,1.27,1.59,2.52,0.53,1.71,2.53,2.96,2.05,3.37,2.33,1.89,2.39,2.98,1.74,2.11,0.87,1.61,2.49,3.96,2.69,1.53,1.57,4.48,1.5,0.93
June,,,,,3.96,1.57,2,2.74,0.73,0.97,0.22,1.29,2.25,4.35,3.19,2.57,2.26,3.39,1.06,2.54,1.3,1.8,2.3,2.87,1.45,2.57,3.18,2.36,1.18,4.11
July,,,,,1.96,5.43,2.5,6.58,6.61,7.95,1.63,2.74,3.26,1.87,2.9,4.71,2.81,2.9,1.29,3.9,2.56,1.39,3.94,3.06,0.4,4.58,6.57,1.8,2.91,2.21
August,,,,,2.76,1.81,2.5,1.53,2.13,1.62,5.02,2.8,4.2,1.41,2.95,3.33,0.04,4.61,3.38,2.36,4.52,4.05,2.03,2.46,0.63,4.76,4.08,3.19,1.61,5.18
September,,,,,3.41,2.43,1.6,3.59,1.63,2.35,0.89,3.78,2.84,3.48,3.64,3.82,4.89,2.2,1.51,5.97,1.08,1.47,2.3,2.47,2.38,2.44,1.62,1.61,1.46,2.78
October,,,,,5.04,3.34,1.75,5.9,2.63,3.88,5.93,4.22,2.5,3.86,4.15,0.37,1.5,2.96,1.41,2.04,1.25,2.83,1.32,6.17,4.3,3.64,1.92,2.58,3.81,4.27
November,,,,,3.15,2.02,0.75,3.08,3.3,4.98,3.35,1.4,3.47,4.78,0.73,4.79,4.14,2.32,1.71,2.64,5.69,3.3,2.56,3.09,1.44,2.96,2.01,0.9,3.78,3.26
December,,,,,3.19,4.34,1.27,1.79,1.95,3.31,2.17,3.35,1.62,3.16,4.65,2.15,2.22,3.68,5.83,2.66,3.98,2.8,2.47,6.61,5.99,2.23,6.02,3.36,1.78,2.35
Total,,,,,37.15,31.81,24.45,37.09,29.15,34.78,31.72,30.6,32.47,38.3,35.35,30.85,28.11,35.66,30.54,34.97,33.86,27.5,26.55,38.3,27.36,32.83,35.69,31.04,29.73,35.58
