MULLION-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW677189,Long,-5.24434,Lat,50.02486,Elevation,206,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,6.22,6.99,3.75,6.52,3.59,4.11,3.02,3.39,1.48,6.81,6.78,5.51,7.62,3.22,5.41,4.38,6.09,4.17,2.8,4.5,3.3,,,0.94
February,,,,,,,,2.54,3.63,3.65,2.34,3.69,0.01,3.22,0.17,3.48,7.85,7.51,1.87,1.65,5.42,7.06,0.47,2.03,0.94,3.53,4.08,3.61,,,5.73
March,,,,,,,,2.96,5.79,0.5,3.34,6.24,2.58,2.89,4.02,1.18,4.17,5.28,0.36,1.65,3.52,4.24,3.41,0.78,0.6,0.96,2.05,8.3,,,1.94
April,,,,,,,,2.38,3.61,1.59,3.59,2.03,2.37,2.72,3.69,4.71,2.65,3.56,0.03,2.31,4.26,2.02,2.17,2.39,,0.8,1.32,1.69,,0.74,
May,,,,,,,,0.91,1.53,4.39,2.26,2.58,,2.41,1.57,1.39,1.05,1.77,3.25,0.88,0.5,2.25,6.74,3.53,0.31,4.82,4.72,3.9,,2.77,1.53
June,,,,,,,2.9,2.87,1.38,2.33,0.77,3.43,,1.33,2.2,3.02,1.59,1.07,1.3,2.55,1.35,1.86,0.7,1.43,2.89,4.11,2.05,4.05,,0.27,
July,,,,,,,,2.02,1.57,0.88,1.92,5.88,,2.29,0.43,0.25,6.32,1.59,3.7,5.54,2.41,0.6,2.43,3.28,2.72,4.74,1.38,1.67,,1.49,3.28
August,,,,,,,,3.57,1.33,2.18,4.45,3.46,1.69,0.9,2.49,2.95,0.31,0.73,3.47,2.35,0.14,5.28,2.92,2.25,2.58,,3.04,0.95,,,4.15
September,,,,,,,0.4,5.51,2.48,0.28,4.44,2.4,,2.21,2.92,3.18,2.94,3.19,2.07,1.01,2.05,1,1.9,4.79,,2.26,4.05,1.04,,2.11,4.32
October,,,,,,,4.18,2.59,6.81,7.18,4.26,0.9,7.24,5.73,3.02,4.41,1.54,3.26,4.69,4.87,3.55,1.42,3.64,3.22,,3.07,3.36,1.58,,6.9,3.91
November,,,,,,,6.44,3.74,3.4,11.48,6.3,6.87,2.23,1.5,1.99,6.54,4.55,2.38,6.49,7.21,7.09,3.67,0.87,2.66,,3.16,4.71,3.2,,5.06,
December,,,,,,,0.95,3.78,4.68,8.62,3.22,2.07,3.76,2.39,9.3,5.1,3.65,4.74,5.19,3.13,4.85,2.86,3.99,2.85,,5.53,4.43,2.96,,1.45,
Total,,,,,,,,39.09,43.2,46.83,43.41,43.14,,30.61,35.19,37.69,43.43,41.86,37.93,40.77,38.36,37.67,33.62,35.3,,,39.69,36.25,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge in open space in garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 CRA says Observer thinks gauge may have been slightly sheltered by garden growth during June and July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 May June July Sept Adjusted to allow for leak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Aug Amended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 No record owing to staff changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Termination of record at end of year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
