BRIDPORT-CONEYGAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY469932,Long,-2.753823,Lat,50.735973,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,2.48,3.55,4.98,1.14,2.2,0.87,4.7,5.25,2.97,0.85,3.51,5.06,0.72,6.36,1.4,0.81,1.1,3.12,1.23,4.69,6.4,0.91,3.84,1.02,1.14,3.89,7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,4.23,3.37,0.03,0.55,3.88,1.9,4.12,5.98,1.26,2.02,1.81,5.98,0.69,3.38,1.68,2.13,0.31,3.38,1.51,3.18,1.06,4.68,5.12,5.65,1.27,1.6,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,0.39,1.37,3.08,3.01,4.64,1.73,0.46,1.63,2.37,2.27,5.22,1.61,5.46,1.36,0.53,2.65,4.24,0.84,2.61,5.35,2.58,5.76,0.85,3.41,2.78,1.6,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,0.11,2.24,2.45,0.5,3.72,1.56,3.85,1.52,3.02,2.27,3.86,1.34,2.2,0.71,3.79,2.77,1.43,1.75,1.76,0.12,2.75,1.52,1.22,0.67,1.37,1.39,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,0.83,2.07,0.37,0.07,1.64,3.78,1.06,1.87,1.68,2.24,2.84,3.16,0.45,2.23,2.23,1.4,1.13,2.22,0.78,1.66,2.64,1.6,2.49,2.45,1.92,1.77,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,0.65,1.78,1.52,2.3,3.31,0.88,1.49,2.88,1.69,3.24,1.72,1.08,2.51,1.17,1.88,0.25,3.36,1.91,1.51,3.77,0.54,2.48,1.2,2.75,1.45,1.13,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,3.55,4.56,4.82,2.5,1.08,1.16,0.12,1.96,0.78,3.11,2.13,3.55,4.38,0.6,1.29,1.26,1.33,3.45,3.16,0.17,2.16,0.26,4.55,4.38,1.01,2.23,4.82,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,3.24,1.14,4.47,2.6,2.15,4.62,1.37,1.16,2.18,2.54,4.09,5.07,4.14,4.25,1.21,1.38,3.31,2.86,3.55,0.87,6.49,1.73,2.5,1.57,4.64,4.85,2.17,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.23,1.79,2.93,0.34,6.54,2.8,1.47,2.56,1.04,4.61,2.8,5.23,2.61,1.7,1.43,0.84,2.88,1.89,0.29,1.45,1.42,4.32,2.65,2.15,2.87,1.83,8.15,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,4.5,3.87,3.25,3.98,2.74,1.27,5.62,2.28,2.7,3.64,2.81,6.99,2.38,2.41,5.53,7.49,4.39,7.21,4.54,3.89,4.14,5.14,3.28,6.81,6.78,3.66,2.02,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
