ST BRIAVELS (MAVIS BANK),,,,,,,,,,,,
Grid ref,SO556038,Long,-2.644294,Lat,51.731145,,,,,,,
Station no,2122/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.78,6.08,5.37,,
February,,,,,,,,6.22,0.35,4.43,,
March,,,,,,,,1.46,3.23,2.58,,
April,,,,,,,,0.76,3.76,1.97,,
May,,,,,,,,3.52,1.34,1.54,,
June,,,,,,,,4.01,1.67,2.03,,
July,,,,,,,,2.90,2.97,3.92,,
August,,,,,,,,3.37,1.50,4.98,,
September,,,,,,,,7.36,0.13,4.81,,
October,,,,,,,,4.65,2.65,9.63,,
November,,,,,,,,2.78,5.51,7.36,,
December,,,,,,,,5.19,9.19,3.62,,
Total,,,,,,,,46.00,38.38,52.24,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,38.38,52.24,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
