"RHUM (KINLOCH CASTLE)",,,,,,,,,,,,
Grid ref,NM402996,Long,-6.281444,Lat,57.014168,,,,,,,
Station no,5753/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,16.82,7.02,7.68,,
February,,,,,,,,5.52,4.09,9.01,,
March,,,,,,,,3.24,8.67,2.56,,
April,,,,,,,,4.17,6.48,8.53,,
May,,,,,,,,6.32,1.62,4.26,,
June,,,,,,,,2.84,7.28,5.89,,
July,,,,,,,,2.62,12.76,5.83,,
August,,,,,,,,6.42,6.87,5.00,,
September,,,,,,,,8.67,6.09,8.80,,
October,,,,,,,,10.57,11.74,2.02,,
November,,,,,,,5.95,6.29,14.02,13.76,,
December,,,,,,,13.35,7.15,18.10,15.91,,
Total,,,,,,,,80.63,104.74,89.25,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,19.30,80.63,104.74,89.25,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
