"FEARN, LOWER PITKERRIE",,,,,,,,,,,,
Grid ref,NH866800,Long,-3.909370,Lat,57.795221,,,,,,,
Station no,RR383,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.46,1.59,1.17,2.59,0.54,1.61,1.89,1.64,1.24,1.67,,
February,0.85,2.01,0.85,1.97,2.21,2.26,2.57,1.14,1.87,0.52,,
March,1.28,1.49,1.22,2.52,0.41,3.94,1.56,1.15,2.25,1.44,,
April,1.68,1.02,0.73,1.98,2.33,1.82,1.46,0.90,1.54,1.64,,
May,1.22,1.87,2.42,1.24,0.86,1.82,3.24,2.49,2.02,1.83,,
June,2.36,1.58,1.74,1.51,0.83,0.61,0.32,3.10,0.71,1.93,,
July,3.48,3.23,2.90,3.21,0.87,1.65,1.93,2.56,1.16,1.64,,
August,3.96,2.53,1.15,3.34,3.36,2.99,3.81,1.39,1.36,2.32,,
September,1.81,0.71,1.81,1.32,2.34,1.82,1.51,0.75,4.12,1.97,,
October,2.32,2.52,1.28,5.00,1.65,2.97,2.55,2.23,0.82,2.90,,
November,3.03,1.67,0.47,2.95,1.79,3.23,5.46,2.16,2.28,1.68,,
December,3.84,3.62,1.95,1.21,1.96,1.04,1.46,2.34,1.11,1.65,,
Total,28.29,23.84,17.69,28.84,19.15,25.76,27.76,21.85,20.48,21.19,,
Calc annual,28.29,23.84,17.69,28.84,19.15,25.76,27.76,21.85,20.48,21.19,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
