TAIN FEARN,,,,,,,,,,,,
Grid ref,NH 84719 77849,Long,-3.939964,Lat,57.775433,Elevation,50,ft,,,,
Station no,RR383,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881
January,,,3.07,1.56,2.08,3.26,0.67,2.67,1.6,0.87,1.63,0.89
February,,,1.31,0.78,0.21,0.64,3.42,3.55,0.58,0.71,0.95,2.17
March,,,1.1,1.35,1.73,1.09,3.6,2.14,2.09,2.22,0.83,1.79
April,,,0.72,0.9,1.22,1.36,2.63,1.52,0.23,1.26,1.38,0.94
May,,,3.54,3,1.89,1.05,1.14,2.16,2.15,3.54,0.53,1.98
June,,,4.95,1.2,0.84,2.12,2.05,3.2,1.65,2.36,1.71,2.16
July,,,1.97,5.17,2.07,3.57,1.49,2.58,1.11,4.03,1.85,3.44
August,,,2.67,2.74,5.83,1.48,1.38,4.92,3.94,3.64,0.34,2.36
September,,,3.12,4.39,1.89,2.4,3.52,1.03,2.52,1.56,1.73,1.95
October,,,3.95,2.93,3.69,1.49,2.65,2.99,1.31,1.35,2.15,2.13
November,,,3.65,2.98,1.93,2.7,3.54,3.11,2.87,2.35,2.95,3.39
December,,,1.5,2.44,1.86,1.68,3.43,2.32,2.94,1.49,2.23,1.79
Total,,,31.55,29.44,25.24,22.84,29.52,32.19,22.99,25.38,18.28,24.99
,,,,,,,,,,,,
Unable to confirm Location,,,,,,,,,,,,
Gauge move 1882,,,,,,,,,,,,
