FEARN SCHOOL HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 83856 77353,Long,-3.95422,Lat,57.77075,Elevation,40,ft,,,,,,,,,,,,
Station no,RR383,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,2.69,1.61,3.54,5,1.66,1.52,1.38,,,,,,,,
February,,,,,,1.98,2.28,1.68,2.52,2.41,1.11,1.93,,,,,,,,
March,,,,,,1.38,1.28,1.24,1.9,2.33,0.54,0.95,,,,,,,,
April,,,,,,0.92,0.63,3.04,1.54,1.56,1.26,3.05,,,,,,,,
May,,,,,,1.56,1.23,2.39,1.2,1.55,1.27,0.45,,,,,,,,
June,,,,,,0.58,1.07,2.37,1.11,1.4,1.1,1.06,,,,,,,,
July,,,,,,3.41,2.89,2.23,0.38,1.15,0.73,4.11,,,,,,,,
August,,,,,,2,1.97,2.89,5.32,2.07,1.31,1.93,,,,,,,,
September,,,,,,0.66,2.67,2,3.98,3.55,1.94,4.17,,,,,,,,
October,,,,,,3.42,1.22,2.9,2.08,3.62,2.37,2.59,,,,,,,,
November,,,,,,1.9,3.21,0.52,1.39,2.35,2.08,1.92,,,,,,,,
December,,,,,,1.14,3.38,2.31,2.17,2.49,3.25,0.84,,,,,,,,
Total,,,,,,21.64,23.44,27.11,28.59,26.14,18.48,24.38,,,,,,,,
