CHARMOUTH-LESLIE-COTTAGE-(WEEKLY-5-INCH),,,,,,,,,,,,,,,,,,,,
Grid ref,SY362933,Long,-2.90506,Lat,50.7358,Elevation,120,ft,,,,,,,,,,,,
Station no,RR8895,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.12,1.23,3.6,1.19,4.37,5.84,0.74,,,,,
February,,,,,,,,,1.01,0.4,3.75,1.74,3.2,0.98,3.81,,,,,
March,,,,,,,,,4.03,4.33,0.62,2.56,5.25,2.87,4.94,,,,,
April,,,,,,,,,1.87,1.31,2.11,1.05,0.2,3.34,1.28,,,,,
May,,,,,,,,,1.96,0.73,2.51,2.49,1.72,2.16,1.87,,,,,
June,,,,,,,,,0.36,4.62,2.19,1.43,3.82,0.5,1.95,,,,,
July,,,,,,,,,1.46,3.41,2.68,0.27,2.09,0.32,4.51,,,,,
August,,,,,,,,,1.29,2.52,4.62,0.61,6.5,1.61,2.68,,,,,
September,,,,,,,,,4.78,1.38,0.24,1.09,1.04,4,2.48,,,,,
October,,,,,,,,,4.39,6.36,4.42,3.7,4.22,4.06,3.15,,,,,
November,,,,,,,,,0.91,1.29,4.26,4,1.54,3.04,4.2,,,,,
December,,,,,,,,,3.67,5.52,5.36,7.09,5.18,1.75,7.27,,,,,
Total,,,,,,,,,26.85,33.1,36.36,27.22,39.13,30.47,38.88,,,,,
,,,,,,,,,,,,,,,,,,,,
5 inch gauge 8ft SSE and 9 inches lower than 8 inch gauge,,,,,,,,,,,,,,,,,,,,
1915 Nov 11 Site only inspection In open meadow sloping to E Very exposed to sea Gauge not seen,,,,,,,,,,,,,,,,,,,,
