SKELMORLIE MORLAND,,,,,,,,,,,,,,,,,,,,
Grid ref,NS193681,Long,-4.8897374,Lat,55.872082,Elevation,100,ft,,,,,,,,,,,,
Station no,5218,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,7.2,5.5,4.5,9.6,9.1,4.5,,,,,
February,,,,,,,,,,5.4,6.8,7.7,5.3,1.1,2,,,,,
March,,,,,,,,,,2.2,1.8,4.7,5.2,2.5,6.5,,,,,
April,,,,,,,,,,2.3,2.5,5.2,2.5,1,2.8,,,,,
May,,,,,,,,,,1.8,5.6,1.1,3,2.2,2,,,,,
June,,,,,,,,,,2.2,2.5,2.3,8.9,3.3,1.2,,,,,
July,,,,,,,,,,3.6,2.6,4.1,5.2,5.5,2.7,,,,,
August,,,,,,,,,,1.7,2.1,3.5,5.1,6.3,5.2,,,,,
September,,,,,,,,,,9.4,4.6,2.8,10,6.5,5.5,,,,,
October,,,,,,,,,,2.2,6.8,5.6,5.1,8.6,10.6,,,,,
November,,,,,,,,,,7.3,2.4,4.2,8.1,6.5,6.5,,,,,
December,,,,,,,,,,9.4,5.6,7,7.2,4.5,2.2,,,,,
Total,,,,,,,,,,54.7,48.8,52.7,75.2,57.1,51.7,,,,,
