"SKELMORLIE (CRUACHAN)",,,,,,,,,,,,
Grid ref,NS195682,Long,-4.886612,Lat,55.873055,,,,,,,
Station no,5218,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,6.62,1.92,,,
February,,,,,,,,4.55,2.16,,,
March,,,,,,,,1.81,,,,
April,,,,,,,,2.44,,,,
May,,,,,,,,4.30,,,,
June,,,,,,,,3.35,,,,
July,,,,,,,,5.09,,,,
August,,,,,,,,5.21,,,,
September,,,,,,,,5.19,,,,
October,,,,,,,,4.57,,,,
November,,,,,,,,2.52,,,,
December,,,,,,,6.97,8.11,,,,
Total,,,,,,,,53.76,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,6.97,53.76,4.08,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,,
