HEXHAM (RIDGEWAY-ON-YARRIDGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY928624,Long,-2.113961,Lat,54.956188,Elevation,650,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3564/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.81,,2.11,,,,,,,4.04,1.87,1.89,7.49,1.22,2.38,1.79,2.59,0.42,,,,,,,
February,,,,,,2.01,,0.95,,,,,,,1.52,1.2,3.59,1.54,1.79,4.11,1.6,0.32,1.11,,,,,,,
March,,,,,,2.12,,0.74,,,,,,,0.63,1.32,4.53,1.55,0.55,0.65,3.17,0.71,0.3,,,,,,,
April,,,,,,0.81,,0.41,,,,,,,1.75,0.88,4.21,1.8,1.46,1.63,1.67,1.49,1.77,,,,,,,
May,,,,,0.64,1.56,,2.31,,,,,,,3.32,2.07,1.63,0.88,0.62,1.51,2.28,1.57,1.31,,,,,,,
June,,,,,2.25,2.47,,3.12,,,,,,,2.14,1.81,2.88,2.96,0.71,2.01,1.05,1.9,1.27,,,,,,,
July,,,,,0.87,2.99,,2.01,,,,,,,1.25,3.7,4.65,1.94,2.46,2.66,1.64,1.8,2.1,,,,,,,
August,,,,,2.77,1.79,,1.85,,,,,,,1.3,3.22,0.25,5.24,2.23,4.26,3.87,1.44,4.35,,,,,,,
September,,,,,3.13,3.26,,1.77,,,,,,,1.31,3.05,1.13,2.46,2.07,3.13,0.96,2.43,2.18,,,,,,,
October,,,,,5.03,2.55,,5.19,,,,,,,3.37,0.77,0.82,1.58,3.28,1.44,0.74,1.87,1.03,,,,,,,
November,,,,,3.44,2.59,,3.77,,,,,,,0.55,3.25,2.93,1.36,2.65,3.46,6.46,1.83,,,,,,,,
December,,,,,1.4,2.73,,2.55,,,,,,,0.98,1.75,2.19,1.96,3.75,1.33,2.5,2.39,,,,,,,,
Total,,,,,,28.69,,26.78,,,,,,,22.16,24.89,30.7,30.76,22.79,28.57,27.73,20.34,,,,,,,,
