MILNGAVIE (CRAIGTON SCHOOL),,,,,,,,,,,,,,,,,,,,
Grid ref,NS5288075908,Long,-4.35784,Lat,55.9536,Elevation,425,ft,,,,,,,,,,,,
Station no,5340/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,9.8,4.77,3.29,0.9,6.58,6.13,8.79,3.63,6.67,5.67,7.15,7.8,5.51
February,,,,,,,,3.67,7.59,1.89,4.47,2.21,6.83,2.93,8.78,4.36,1.17,6.13,7.09,6.4
March,,,,,,,1.3,5.13,4.96,5.97,3.18,3.94,3.53,0.68,3.58,2.82,3.36,5.4,2.71,4.08
April,,,,,,,2.3,1.3,3.57,4.5,1.9,3.15,6.06,3.48,3.21,3,6.84,4.58,6.29,4.31
May,,,,,,,1.67,5.58,1.96,1.38,4.11,3.13,4.25,4.39,4.5,1.19,3.84,2.19,3.27,1.66
June,,,,,,,4.87,6.52,3.92,1.35,1.47,1.96,5.12,3.99,4.07,3.53,3.77,6.35,1.12,3.19
July,,,,,,,4.79,4.96,8.54,3.77,3.98,3.3,2.82,3.42,3.53,4.75,4.71,4.84,3.2,8.05
August,,,,,,,4.62,3.85,2.39,3.27,5.75,6.28,7.07,2.93,2.72,3.92,,8.56,5.88,7.97
September,,,,,,,3.47,5.35,2.7,5.18,2.37,6.44,3.38,5.37,6.98,8.4,,8.33,3.59,11.39
October,,,,,,,3.93,10.56,3.35,7.27,5.6,8.34,10.14,5.24,7.29,0.52,,10.14,7.01,
November,,,,,,,0.92,10.54,8.52,6.04,3.64,0.96,2.86,8.02,0.76,7.47,,4.97,5.47,
December,,,,,,,3.07,4.07,2.08,6.31,4.16,6.09,2.36,8.21,4.29,5.61,,6.85,11.73,
Total,,,,,,,,71.33,54.35,50.22,41.53,52.38,60.55,57.45,53.34,52.24,,75.49,65.16,
,,,,,,,,,,,,,,,,,,,,
Station no,5340/1,,,,,,,,,,,,,,,,,,,
Midas,13631,,,,,,,,,,,,,,,,,,,
Hyd Stn,658690,,,,,,,,,,,,,,,,,,,
