"GILMOURTON, AVONDALE",,,,,,,,,,
Grid ref,NS 65746 40114,Long,-4.134292,Lat,55.63599,Elevation,600,ft,,
Station no,RR3079,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,4.3,5.5,2.1,,
February,,,,,,2.1,3.4,2.1,,
March,,,,,,3,5.2,1.45,,
April,,,,,,1.8,1.5,4,,
May,,,,,,2.2,2.2,4.1,,
June,,,,,,4.2,4.8,3.3,,
July,,,,,,2.8,6.1,2.1,,
August,,,,,,4.1,6.3,1.3,,
September,,,,,,5.8,2.5,4.4,,
October,,,,,,11.7,5.2,5.9,,
November,,,,,,7.8,2.4,6,,
December,,,,,,9.8,2.2,4.5,,
Total,,,,,,59.6,47.3,41.25,,
