PETERBOROUGH-WESTGATE,,,,,,,,,,,,,,,,,,,,
Grid ref,TL190988,Long,-0.24544815,Lat,52.57401,Elevation,32,ft,,,,,,,,,,,,
Station no,RR7062,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,1.83,2.3,3.33,1.42,1.44,0.12,,,,,,,,,
February,,,,,,1.16,2.3,1.39,1.57,1.91,2.07,,,,,,,,,
March,,,,,,0.62,2.55,1.57,0.63,0.42,1.01,,,,,,,,,
April,,,,,,1.1,4.91,3.18,1.41,1.84,2.18,,,,,,,,,
May,,,,,,1.73,0.84,1.42,4.16,2.65,0.8,,,,,,,,,
June,,,,,,3.13,1.79,1.54,1.12,3.85,3.79,,,,,,,,,
July,,,,,,6.61,1.39,2.49,1.2,2.71,5.27,,,,,,,,,
August,,,,,,1.28,1.52,3.31,3.88,2.61,1.35,,,,,,,,,
September,,,,,,1.84,5,1.45,0.69,2.44,5.21,,,,,,,,,
October,,,,,,3.1,0.86,0.82,1.75,0.63,5.35,,,,,,,,,
November,,,,,,3.64,2.77,2.08,4.29,0.77,1.74,,,,,,,,,
December,,,,,,1.39,4.15,1.72,1.25,0.59,2.23,,,,,,,,,
Total,,,,,,27.43,30.38,24.3,23.37,21.86,31.12,,,,,,,,,
