LOCH FINLAS (NEW SITE),,,,,,,,,,
Grid ref,NX469981,Long,-4.410279,Lat,55.253238,Elevation,840,ft,,
Station no,5257/01,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.73,5.73
February,,,,,,,,,2.75,7.33
March,,,,,,,,,4.76,2.74
April,,,,,,,,,5.77,5.88
May,,,,,,,,,1.99,3.16
June,,,,,,,,,4.21,3.22
July,,,,,,,,,6.1,4.79
August,,,,,,,,,1.34,4.21
September,,,,,,,,,1.9,4.05
October,,,,,,,,,9.25,3.89
November,,,,,,,,,7.97,10.46
December,,,,,,,,5.91,10.19,8.11
Total,,,,,,,,,59.96,63.57
,,,,,,,,,,
New Site,,,,,,,,,,
