LOCH FINLAS AYR W.W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX470980,Long,-4.408653,Lat,55.252372,Elevation,849,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,4.73,4.49,5.04,4.97,4.49,6.85,3.35,4.46,3.04,6.09,0.3,2.9,1.39,4.29,6.73,7.77,3.82,4.59,7.52,5.95,4.8,7.94,3.23,8.2,7.73,5.2,5.71,6.88,6.68,5.56,6.54,9.25,1.03,4.97,4.04,7.74,10.62,5.99,6.52,6.24,7.29,10.7,7.29,15.1,3.21,10.06,5.25,7.87,5.18,14.2,3.04,5.53,11.56,,,
February,,,,,,6.02,1.85,3.55,1.83,3.05,1.43,0.45,2.7,5.66,7.94,0.57,2.02,4.16,6.8,2.63,4.37,2.49,1.3,9.13,5.24,6.32,4.29,4.48,6.09,5.63,10.3,9.01,4.6,4.79,7.55,9.23,4.69,1.57,7.56,0.85,5.86,2.06,6.1,6.64,2.31,6.09,5.27,2.96,5.66,2.05,0.25,5.63,0.1,3.6,0.87,7.17,2.99,5.84,,,
March,,,,,,3.8,3.32,1.43,2.62,3.06,3.84,4.86,1.07,2.16,3.08,4.54,5.75,7.53,2.6,4.52,0.37,3.2,4.36,11.24,3.12,7.68,4.37,6.27,6.89,3.43,4.05,1.95,7.65,6.56,7.3,3.41,1.67,2.99,0.88,2.91,6.98,9.89,2.84,3.31,1.25,2.35,4.54,5.19,8.51,1.02,2.79,1.28,2.49,3.64,2.49,2.15,4,1.55,,,
April,,,,,,4.29,2.57,2.51,2.31,3.08,1.62,2.21,1.19,1.06,4.18,3.33,1.61,3.23,4.98,3.23,2.97,4.12,4.11,2.08,6.07,3.34,2.01,5.47,3.12,3.53,3.93,5.9,2.45,5.27,5.23,3.75,4.92,2.04,0.9,3.16,4.07,1.34,3.18,4.13,2.35,6.16,3.85,4.12,2.86,1.51,3.38,2.33,3.71,2.16,3.63,4.17,1.31,2.61,,,
May,,,,,,2.75,3.99,2.33,3.35,2.74,2.66,3.37,5.25,2.46,3.93,0.73,1.15,2.46,3.73,3.32,3.87,2.01,2.77,3.45,2.53,2.64,4.02,5.88,3.68,2.53,3.95,4.3,1.9,3.77,3.57,1.18,5.07,3.59,3.48,1,4.49,2.72,4.17,3.7,5.04,5.93,3.91,3.25,1.22,4.7,1.77,2.88,2.89,2.9,5.02,0.92,1.88,2.26,,,
June,,,,,,1.7,1.66,0.98,2.36,0.79,4.81,1.37,3.49,2.29,3.41,1.09,4.06,4.78,2.78,2.98,3.61,4.24,1.44,2.69,2.35,2.54,2.2,5.44,3.41,4.14,1.77,4.12,5.94,4.09,1.23,1.83,1.94,3.13,1.8,5.89,2.23,1.11,3.27,3.11,2.55,0.96,3.45,4.73,5.67,2.39,2.36,6.66,1.98,2.2,3.22,5.49,2.81,2.78,,,
July,,,,,,2.28,3.66,5.1,4.33,4.83,5.2,1.67,3.74,5.58,4.25,4.12,5.19,3.35,1.81,3.18,1.65,1.85,2.98,4.29,3.06,1.88,4.23,2.56,4.17,8.21,5.25,2.73,3.83,1.37,2.51,4.8,4.86,1.35,3.46,1.29,3.85,2.72,3.64,4.21,5.24,2.78,3.66,5.97,3.37,4.68,5.32,4.85,4.47,4.16,2.99,3.27,6.2,6.53,,,
August,,,,,,3.67,3.18,3.32,3.32,5.3,2.8,9.49,6.12,4.18,4.5,4.76,4.05,8.38,4.9,1.93,4.71,6.81,2.79,7.91,7.42,5.26,5.22,6.27,4.95,5.18,8.87,2.35,4.11,2.07,4.86,2.74,2.29,4.67,4.41,4.17,3.98,6.62,4.13,8.41,4.84,4.11,3.77,5.23,6.02,5.93,8.69,1.88,1.75,2.36,6.26,1.66,4.72,2.21,,,
September,,,,,,7.78,5.49,4.93,1.85,3.25,5.04,6.29,5,2.65,0.17,1.65,5.76,6.1,4.19,6.17,4.47,4.86,4.58,5.22,5.21,3.34,2.27,1.4,8.57,2.29,2.2,3.28,3.62,2.62,2.64,1.83,2.14,4.2,7.6,6.64,2.72,3.18,3.1,9.31,9.6,4.76,3.95,7.9,3.72,1.36,4.83,2.3,5.81,1.25,7.02,8.09,4.41,3.61,,,
October,,,,,,6.61,4.84,2.19,3.38,5.71,3.7,9.01,4.49,8.61,5.75,5.21,5.16,3.66,2.79,4.77,7.17,8.25,3.4,11.61,3.34,6.7,8.04,9.78,1.78,13.8,2.4,5.72,6.58,5.51,2.18,3.49,9.94,9.4,6.89,1.24,5.63,4.82,3.09,8.96,3.83,7.24,5.78,7.82,10.34,8.66,9.26,4.03,9.2,3.09,9.08,9.57,6.38,4.14,,,
