"LOCH FINLAS",,,,,,,,,,,,
Grid ref,NX470980,Long,-4.408653,Lat,55.252372,,,,,,,
Station no,5257,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.20,6.22,3.59,6.06,3.78,3.95,6.68,4.89,3.10,,,
February,4.18,1.82,2.36,3.41,1.59,1.17,4.50,4.95,1.98,,,
March,2.44,2.67,1.07,3.73,1.92,3.39,3.37,1.24,4.16,,,
April,4.29,2.36,2.60,1.52,2.63,1.25,1.98,1.18,4.89,,,
May,2.40,2.34,3.24,3.70,3.96,2.64,1.80,2.50,1.83,,,
June,2.32,3.35,1.48,3.95,2.91,2.91,0.89,2.65,3.59,,,
July,2.42,4.48,5.97,4.81,1.72,6.02,5.72,5.46,5.24,,,
August,7.12,4.61,4.55,4.68,1.76,5.93,5.27,4.01,1.18,,,
September,5.04,4.38,7.15,8.31,6.02,3.47,4.05,4.30,1.50,,,
October,0.76,6.24,5.32,9.79,4.15,4.01,5.18,5.23,8.80,,,
November,11.10,4.16,6.86,8.90,4.10,2.83,2.66,2.10,7.16,,,
December,9.78,5.22,5.10,10.23,7.55,5.06,5.51,5.02,8.43,,,
Total,57.05,47.85,49.29,69.09,42.09,42.63,47.61,43.53,51.86,,,
Calc annual,57.05,47.85,49.29,69.09,42.09,42.63,47.61,43.53,51.86,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
