LOCH FINLAS AYR W.W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX470980,Long,-4.408653,Lat,55.252372,Elevation,849,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,8.47,5.14,1.86,1.49,6.12,9.35,6.52,4.5,7.98,6.31,9.28,6.42,5.05,5.2,6.22,3.59,6.06,3.78,3.95,6.68,4.89,3.1,
February,,,,,,,,4.74,7.22,2.8,3.64,2.57,5.38,2.73,6.91,4,0.33,4.42,5.5,5.56,4.18,1.82,2.36,3.41,1.59,1.17,4.5,4.95,1.98,
March,,,,,,,,3.83,6.64,5.57,2.98,3.52,2.85,1.15,3.48,2.33,4.3,5.41,2.36,3.83,2.44,2.67,1.07,3.73,1.92,3.39,3.37,1.24,4.16,
April,,,,,,,,0.66,2.54,2.9,2.44,2.96,4.48,4.08,2.99,1.67,8.74,4.08,4.6,4.8,4.29,2.36,2.6,1.52,2.63,1.25,1.98,1.18,4.89,
May,,,,,,,,4.88,0.85,2.04,4.39,3.56,4,3.39,4.86,0.76,4.4,1.12,2.08,2.04,2.4,2.34,3.24,3.7,3.96,2.64,1.8,2.5,1.83,
June,,,,,,,,7.06,3.5,1.37,0.78,2.1,5.34,4.37,4.4,2.89,4.8,5.79,1.32,3.32,2.32,3.35,1.48,3.95,2.91,2.91,0.89,2.65,3.59,
July,,,,,,,,6.79,5.4,5.84,3.3,5.27,2.12,3.32,4.81,4.81,4.18,3.46,1.57,6.39,2.42,4.48,5.97,4.81,1.72,6.02,5.72,5.46,5.24,
August,,,,,,,,2.65,2.5,2.67,7.47,6.1,5.58,3.9,2.64,3.41,0.2,5.42,4.16,8.08,7.12,4.61,4.55,4.68,1.76,5.93,5.27,4.01,1.18,
September,,,,,,,,6.63,2.62,6.18,2.43,7.16,3.61,7.35,7.72,9.05,6.05,5.96,2.6,13.6,5.04,4.38,7.15,8.31,6.02,3.47,4.05,4.3,1.5,
October,,,,,,,,11.89,4.5,7.68,6.1,7.75,11.38,6.78,6.44,0.75,2.12,5.37,6.9,5.52,0.76,6.24,5.32,9.79,4.15,4.01,5.18,5.23,8.8,
November,,,,,,,1.32,11.16,10.71,7.81,6.75,1.66,4.75,9.52,1.02,8.34,8.92,4.59,8.88,5.49,11.1,4.16,6.86,8.9,4.1,2.83,2.66,2.1,7.16,
December,,,,,,,3.13,5.82,3.11,7.96,3.38,10.41,3.44,7.88,6.04,7.02,2.96,8.54,11.46,2.47,9.78,5.22,5.1,10.23,7.55,5.06,5.51,5.02,8.43,
Total,,,,,,,47.54,74.58,54.73,54.68,45.15,59.18,62.28,60.99,55.81,53.01,53.31,63.44,57.85,66.15,57.05,47.85,49.29,69.09,42.09,42.63,47.61,43.53,51.86,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
