LAKE-OGWEN-CE-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH647603,Long,-4.0233275,Lat,53.122653,Elevation,1004,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,4370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,18.7,9.3,12.6,27.5,0.1,8.5,,13,16.7,16.94,17.25,11.6,,10.9,7.7,16.68,3.2,20.85,13.9,20,,,,,,,,
February,,,,7.6,21.3,23,16,1.5,19,4,10.1,1.9,10.75,20,2.3,,6.71,9.44,11.97,,1.3,8.2,0.25,,,,,,,,
March,,,,7.7,17.7,10,6.1,7.5,3.5,,15.61,18,7.6,2.9,1.45,,3.3,14.5,8.3,,5.13,1.9,5.2,9.3,,,,,,,
April,,,,17.6,3.8,2.5,9.6,3.2,4,7.6,14.65,4.5,8.75,8.15,6.55,1.35,1,5.22,2.45,,5.21,10.68,7.21,2.85,,,,,,,
May,,,,6,7.7,3.3,7.4,5.7,8.5,,11.2,5.11,1.75,6.3,9.45,1.8,6.1,5.95,2.39,,5.2,7.3,10,5.3,,,,,,,
June,,,,12.6,6.4,1.5,3.1,4.5,5.4,6.4,4.5,0.64,5.45,3.1,8.5,0,9,12.1,13.6,,4.3,8.2,6.4,,,,,,,,
July,,,,3.1,8.5,8,5.9,3.7,10.1,-999,-999,2.25,8,5,5.5,4.1,12.7,7.79,4.9,8.9,11.95,8.25,13.51,4.25,,,,,,,
August,,,,5.4,9,7.5,7.9,25,8.3,-999,-999,13.5,7.1,9,14.51,5.14,7.25,19,10.2,9.8,11.5,11.1,2.71,2.62,,,,,,,
September,,,,9.6,7.3,4.4,10.4,5,19.4,8,7.8,3.1,8.16,14.2,16.3,8.57,4.5,12.75,2.55,3.95,9.2,8.05,8,2.65,,,,,,,
October,,,13.7,9.5,5.5,4.5,20,22.8,17.9,6.1,5.69,6.07,4.27,16.97,7.6,9.5,5.3,10.55,19.1,15.85,18.55,5.4,17.3,,,,,,,,
November,,,11.6,20,20.2,9,18.5,13.1,11,7.3,7.57,8,7.2,12.82,6.36,,13.65,12.1,19.2,23.65,15.99,22,8.45,,,,,,,,
December,,,16.5,9.4,19,28.5,11.4,6.4,19.5,28.5,10.6,13.5,10.8,13.5,22.5,9,4.28,3.5,9,22.5,16.92,7.75,11.35,,,,,,,,
Total,,,,127.2,135.7,114.8,143.8,98.5,135.1,,127.27,93.27,96.77,129.19,112.62,,84.69,120.6,120.34,,126.1,112.73,110.38,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Jul Aug -999 (16.50),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Jul Aug -999 (26.55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Nov IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Jun estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
