ALRESFORD-SWARRATON-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU568371 ,Long,-1.1886,Lat,51.1312,Elevation,310,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,0.92,5.79,1.23,3.68,0.56,2.43,1.78,2.9,3.14,3.49,3.48,3.25,1.08,0.66,3.9,2.84,0.76,2.16,4.08,3.11,1.16,2.66,0.64,4.11,3.5,1.84,0.97,3.11,4.71,0.68,6.14,0.9,1.82,1.01,3,1.45,3.22,4.47,,,,,,
February,,,,,,,3.6,1.18,2.4,4.31,4.22,2.05,2.2,5.61,2.74,3.99,0.86,1.16,1.24,2.2,0.69,0.06,0.93,4.34,2.03,0.15,0.52,3.77,1.91,3.3,6.58,1.82,1.46,1.91,3.92,0.83,2.94,1.68,1.16,0.66,4.55,1.65,3.04,1.22,,,,,,
March,,,,,,,3.13,2.56,0.94,0.67,1.13,2.42,0.85,1.21,2.62,1.94,1.96,1.7,3.82,3.04,1.62,2.55,1.09,0.64,1.7,1.7,4.31,5.3,0.77,0.87,1.24,2.42,2.34,4.35,1.47,5.22,1.62,1.16,3.41,4.09,1.09,2.37,4.23,3.28,,,,,,
April,,,,,,,2.08,3.37,2.14,2.76,1.72,0.48,3.8,1.27,1.56,1.77,1.88,1.33,1.98,2.08,2.78,0.8,0.93,0.03,2.3,2.19,0.44,1.64,1.8,2.97,1.67,2.45,1.74,2.38,1.61,1.82,1.16,3.68,3.79,1.98,2.26,2.25,0.05,3.39,,,,,,
May,,,,,,,0.39,-999,4.36,3.43,0.37,0.73,1.73,1.99,0.94,3.48,4.1,1.63,2.75,2.84,2.16,3.55,0.83,0.86,1.96,0.77,0.26,1.15,3.63,1.11,1.91,1.35,2.63,3.58,4.29,0.48,1.91,1.81,2.52,1.55,1.81,2.04,1.11,2.49,,,,,,
June,,,,,,,2.04,-999,1.97,5.65,2.14,2.04,3.31,2.09,2.07,1.52,0.5,0.92,3.48,0.6,2.89,1.38,1.37,0.73,2.43,1.11,1.83,3.43,1.55,1.48,3.49,1.71,4.42,3.38,0.74,5,2.21,1.87,0.8,5.28,3.31,1.95,4.43,0.7,0.43,,,,,
July,,,,,,,0.83,5.39,2.09,4.51,4.97,1.82,3.09,3.62,2.11,0.15,3.2,1.13,6.14,1.99,4.18,2.73,2.57,2.92,4.89,4.36,0.55,1.48,0.4,1.16,1.06,3.11,1.16,3.23,1.53,0.48,0.81,1.17,2.52,2.71,1.91,0.05,1.8,2.77,,,,,,
August,,,,,,,2.66,3.32,4.25,5.81,1.53,6.42,1.67,0.76,1.58,1.25,2.42,2.67,2.04,2.69,3.09,5.95,4.16,0.99,1.82,1.89,2.62,4.07,1.09,1.8,2.53,2.67,4.04,3.88,3.74,3.71,1.6,2.76,3.91,2.25,2.98,1.3,6.51,1.3,,,,,,
September,,,,,,,4.53,1.47,1.41,3.12,5.07,1.9,3.12,4.02,2.04,5.09,1.92,2.53,1.68,1.07,0.92,1.64,3.24,1.93,2.5,0.78,7.46,2.87,1.45,1.99,1.05,2.06,0.88,2.36,1.71,2.17,1.44,0.62,1.69,2.97,0.19,1.14,2.84,3.35,,,,,,
October,,,,,,,2.18,2.47,3.27,0.99,4.73,1.61,6.38,2.87,0.92,3.3,4.42,1.33,1.67,4.34,1.36,10.56,4.95,4.24,4.58,2.76,2.98,0.91,5.08,3.15,2.94,2.33,2.3,10.07,2.25,2.06,6.35,7.27,1.82,7.89,4.39,3.7,3.77,4.1,,,,,,
