TRING-COW-ROAST-OFFSIDE-COTTAGE (TRING-NEW-MILL),,,,,,,,,,
Grid ref,SP926126,Long,-0.65839959,Lat,51.804383,Elevation,400,ft,,
Station no,RR7527,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,3.26,,,,
February,,,,,,0.27,,,,
March,,,,,,2.06,,,,
April,,,,,,1.58,,,,
May,,,,,,0.42,,,,
June,,,,,,0.7,,,,
July,,,,,,4.08,,,,
August,,,,,,3.79,,,,
September,,,,,,1.03,,,,
October,,,,,,2.8,,,,
November,,,,,,4.57,,,,
December,,,,,,2.34,,,,
Total,,,,,,26.9,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1896 Gauge moved to Cow Roast,,,,,,,,,,
