TOMINTOUL,,,,,,,,,,,,
Grid ref,NJ 16731 19135,Long,-3.381846,Lat,57.255288,Elevation,1103,ft,,,,
Station no,RR8780,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881
January,,,,,,,,2.25,1.89,2.52,,
February,,,,,,,,3.69,0.41,1.64,,
March,,,,,,,,2.56,2.62,2.12,,
April,,,,,,,,1.39,0.43,1.05,,
May,,,,,,,,2.89,1.98,2.54,,
June,,,,,,,,4.51,1.61,3.7,,
July,,,,,,,,3.12,1.14,2.47,,
August,,,,,,,,4.85,4.69,4.33,,
September,,,,,,,,4.02,2.82,1.38,,
October,,,,,,,2.53,3.16,3.19,2.08,,
November,,,,,,,1.82,3.52,7.14,3.16,,
December,,,,,,,6.71,2.79,3.85,0.7,,
Total,,,,,,,,38.75,31.77,27.69,31.53,31.46
,,,,,,,,,,,,
BR 1877 P see Obs Notes on weather,,,,,,,,,,,,
BR 1879 P,,,,,,,,,,,,
BR 1878 P,,,,,,,,,,,,
BR 1879 P,,,,,,,,,,,,
BR 1880 P Missing sheet ?,,,,,,,,,,,,
BR 1881 P Missing sheet ?,,,,,,,,,,,,
BR 1882 Tomintoul - No reply.,,,,,,,,,,,,
A very serious loss,,,,,,,,,,,,
1880-1 Totals transcribed,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8780,,,,,,,,,,,
Midas,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,
