WOLVERTON-EWHURST-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU569569,Long,-1.18443,Lat,51.30851,Elevation,410,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,2.4,,,4.34,0.87,4.03,1.84,,2.3,,3.32,3.36,,1.76,3.14,3.05,3.63,2.69,4.67,1.36,4.18,1.65,3.32,2.32,,,,,,,
February,4.21,,,1.42,4.81,5.64,5.55,,1.72,,1.28,0.3,,4.3,0.63,4.13,2.06,3.91,2.05,0.76,0.77,1.84,0.14,4.38,,,,,,,
March,1.07,,,2.93,5.04,0.98,4.48,,0.88,,2.75,1.71,,2.48,0.98,0.39,0.67,3.94,2.75,0.15,1.1,0.25,1.95,3.14,,,,,,,
April,2.26,,,4,1.21,1.22,1.08,,3.18,,4.21,0.78,,2.56,3.72,2.52,3,1.92,2.03,0.85,2.34,2.86,3.09,1.35,,,,,,,
May,2.35,,,2.3,2.08,3.75,2.07,,1.18,,1.36,1.79,,1.64,3.29,3.9,1.96,1.6,2.13,1.52,1.73,2.84,4.42,1.72,,,,,,,
June,4.17,,,0.97,1.19,0.64,2.73,,0.86,,2.25,0.31,,0,2.62,0,2.56,3.12,2.22,1.56,0.57,2.58,1.6,2.24,,,,,,,
July,2.01,,,1.83,2.71,5.69,1.33,,5.86,,6.57,0.12,,0.83,4.74,3.25,1.66,5.35,1.61,1.15,2.54,4.51,2.5,1.66,,,,,,,
August,2.72,,,1.49,2.46,3.04,4.67,,1.32,,0.78,2.06,,3.09,2.92,3.23,1.03,3.49,2.76,0.61,2.56,4.18,1.56,0.43,,,,,,,
September,0.37,,,2.78,1.26,3.83,2.39,,6.03,,1.43,1.22,,1.97,4.64,3.09,0.96,6.45,1.6,0.42,3.34,1.58,3.82,3.73,,,,,,,
October,5.18,,,5.35,2.91,4.18,4.62,,1.84,,,0.85,,5.92,4.26,3.76,3.06,2.07,5.48,3.31,1.59,0.75,4.27,2.15,,,,,,,
November,2.2,,,2.93,3.69,2.43,4.2,,2.04,,,1.76,,2.61,3.18,2.34,6.61,3.85,3.1,7.55,4.89,3.62,1.75,0.65,,,,,,,
December,5.07,,,1.58,7.81,7.48,2.19,,3.99,,2.72,2.01,,2.94,4.79,3.91,0.37,3.24,2.78,6.58,3.16,0.82,1.16,0.49,,,,,,,
Total,34.01,,,31.92,36.04,42.91,37.15,,31.2,,,16.27,,30.1,38.91,33.57,27.57,41.63,33.18,25.82,28.77,27.48,29.58,24.26,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large park but first sheet called Ewhurst Gardens and all observers were gardeners so near kitchen garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Oct Nov Adjusted from neighbouring stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 No return due to death of Duke of Wellington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
