PULHAM-ST-MARY-HILL-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM209852,Long,1.247166,Lat,52.420151,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,1.95,0.7,3.57,1.44,0.8,0.5,1.79,1.84,2.46,2.84,2,3.15,1.47,1.75,2.35,2.62,2.34,2.09,4.72,1.75,2.24,1.11,2.22,1.3,3.7,2.01,1.94,2.1,0.92,1,1.61,3.09,3.1,4.04,2.34,6.32,1.61,2.29,2.71,3.51,2.11,2.1,1.31,1.72,3.87,1.1,1.22,2.36,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,2.74,1.16,2.2,1.27,2.05,0.89,1.65,1.44,1.35,0.81,1.87,2.86,4.46,0.79,0.88,2.75,0.91,0.4,2.61,3.11,1.67,2.23,2.18,2.35,1.24,0.69,0.87,2.9,0.72,2.06,0.77,2.52,2.98,3.13,1.08,1.14,1.18,1.77,0.95,0.75,1.5,1.72,1.86,2.41,0.89,0.94,2.79,3.85,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.25,1.71,1.95,1.33,1.97,2.32,0.95,2.42,2.86,2.18,3.94,1.95,3.3,2.84,0.65,1.95,1.26,1.15,2.05,1.57,0.52,1.66,0.38,2.04,2.28,0.23,1.27,0.38,1.71,2.1,1.7,1.11,0.63,3.63,0.59,2.32,3.14,3.5,2.06,0.44,0.51,1.21,1.5,3.78,0.83,1.27,0.49,3.57,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.04,2.39,0.72,3.32,3.09,1.22,1.79,1.01,0.43,2.19,0.82,1.24,1.85,1.86,3.73,2.04,3.92,1.58,2.81,0.91,2.7,2.98,3.03,1.66,1.28,1.31,2.39,4.16,3.21,1.22,2.37,2.41,1.61,2.23,0.69,2.22,1.14,0.99,0.58,1.05,1.66,1.56,0.93,1.29,1.69,1.71,2.44,4.63,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,2.04,1.14,2.61,2.76,1.88,1.17,3.29,1.28,1.13,1.76,1.62,1.93,2.06,0.72,0.85,0.51,1.9,0.9,0.99,1.59,4.72,2.5,1.87,0.61,2.12,0.92,3.26,3.41,3.76,1.86,2.41,1.38,0.65,2.92,2,0.82,0.77,2.13,1.93,1.07,0.91,2.38,1.09,0.3,2.43,2.43,2.28,1.95,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.18,2.89,2.3,4.16,0.54,2.99,1.87,3.72,2.55,0.83,1.3,3.02,2.98,2.18,1.59,1.6,2.01,0.69,2.04,0.95,1.7,0.62,3.15,4.58,2.48,0.91,1.01,1.82,0.5,2.03,1.63,2.97,3.26,1.17,0.99,1.76,0.28,0.44,0.7,1.86,1.62,1.92,3.06,1.22,2.78,1.17,1.48,1.05,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,1.81,0.48,1,2.04,3.57,2.29,3.31,0.83,3.95,2.77,2.61,3.66,0.7,3.22,3.52,2.79,2.79,0.36,5.78,2.45,2.54,1.31,1.9,3,2.4,3.28,4.26,4.14,2.38,2.16,1.96,1.37,3.8,1.35,1.86,1.44,4.46,1.45,3.9,0.92,2.03,1.23,4.6,1.63,1.95,1.98,3.22,2.08,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,3.62,1.91,2.93,1.3,1.29,3.24,1.85,2.6,0.39,9.19,1.02,1.7,2.04,2.92,3.68,1.4,2.32,1.91,3.17,2.09,2.98,2.09,2.75,2.17,3.64,1.95,1.46,2.7,2.92,2.02,1.22,1.86,1.47,1.14,2.18,2.16,4.07,0.46,3.91,1.31,1.62,1.17,3.66,3.61,0.11,4.61,1.42,3.74,4.7,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,2.34,1.08,1.78,1.18,0.42,1.22,2.25,1.49,1.85,2.43,2.02,1.18,1.54,0.99,2.12,3.68,0.9,2.17,1.4,3.58,2.17,4.19,3.34,0.84,3.22,1.01,1.74,5.36,2.05,1.79,2.79,1.76,3.18,2.6,2.15,2.49,0.61,1.04,0.19,2.37,2.32,3.58,2.13,2.86,0.72,1.34,1.27,4.61,2.8,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,2.99,0.98,2.61,3.69,2.93,1.44,3.47,1.46,2.38,1.78,4.3,1.94,1.61,2.43,3.39,2.94,3.28,0.64,1.03,1.29,3.59,4.49,2.06,2.59,2.52,2.24,3.39,0.79,1.16,3.98,3.19,1.81,2.59,2.45,1.64,2.78,5.95,2.24,2.83,4.03,1.36,3.87,1.93,1.09,0.38,1.62,3.92,1.19,0.76,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,1.06,1.42,1.48,4.16,2.41,1.49,1.08,3.28,2.94,2.87,2.43,3.15,2.52,2.9,1.92,1.74,2.76,0.8,1.78,1.67,2.83,1.55,3.32,3.29,3.8,2.46,3.77,4.09,2.08,1.69,2.32,1.58,3.66,3.29,1.96,2.68,4.13,5.52,2.25,3.02,2.48,4.08,1.42,3.24,1.03,1.73,2.41,4.77,4.09,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,0.6,1.73,1.05,1.65,2.69,1.43,4.58,4.76,3.73,2.55,0.81,5.55,3.85,2.77,1.47,3.24,4.28,3.51,1.76,1.67,2.54,2.39,2.33,1.04,2.38,3.36,4.96,2.48,1.45,0.75,0.73,3.84,2.34,1.73,2.83,2.92,1.78,1.66,1.34,2.42,1.48,1.58,2.48,3.18,2.31,1.2,2.91,2.26,2.04,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,19.13,20.32,26.33,26.06,22.72,24.61,28.24,23.83,33.55,23.96,27.68,29.37,28.83,25.94,26.57,27.8,24.16,16.31,31.3,26.44,30.8,26.21,24.66,31.1,26.52,24.67,30.42,28.57,23.43,22.68,23.3,28.09,27.24,29.23,22.58,32.56,23.5,23.09,25.98,18.86,24.62,23.74,28.33,16.9,24.94,22.53,30.49,33.88,31.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 & 1913 - small moves of gauge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
