"PULHAM ST. MARY (HILL HOUSE)",,,,,,,,,,,,
Grid ref,TM209852,Long,1.247166,Lat,52.420151,,,,,,,
Station no,1400,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.36,3.02,,,,,,,,,,
February,3.85,1.40,,,,,,,,,,
March,3.57,3.11,,,,,,,,,,
April,4.63,1.06,,,,,,,,,,
May,1.95,1.99,,,,,,,,,,
June,1.05,1.56,,,,,,,,,,
July,2.08,1.60,,,,,,,,,,
August,4.70,3.66,,,,,,,,,,
September,2.80,2.92,,,,,,,,,,
October,0.76,3.18,,,,,,,,,,
November,4.09,4.99,,,,,,,,,,
December,2.04,2.95,,,,,,,,,,
Total,33.88,31.44,,,,,,,,,,
Calc annual,33.88,31.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
