BORROWDALE SEATHWAITE (Field),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY235121,Long,-3.1813,Lat,54.499,Elevation,422,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.18,11.15,21.07,22.19,11.09,15.61,11.34,8.32,12.22,21.57,11.17,14.21,6.71,21.46,5.89,10.9,2.2,16.08,21.35,17.89,8.95,12.55,18.18,16.37,9.15,19.93,6.01,16.82,10.63,15.31,11.17,11.58,15.68,12.13,16.79,22.8,6,15.36,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,10.87,13.8,17.8,14.68,25.57,3.57,9.2,2.97,9.32,3.7,2.52,5.07,20.69,25.91,2.18,10.08,12.42,16.48,9.07,8.3,5.34,3.57,20.85,10.13,9.86,9.34,8.69,9.49,11.45,22.18,20.57,7.64,10.53,21.14,20.4,12.87,2.06,20.56,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,15.07,13.44,6.66,13.71,14.51,11.1,4.31,9.62,8.65,12.54,8.17,3.24,8.51,11.24,13.39,19.28,19.99,6.47,9.38,0.83,8.71,8.76,22.23,12.51,11.1,9.38,14.1,11.57,9.08,9.76,6.15,21.26,16.22,14.11,5.28,3.22,7.03,5.65,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,3.61,9.78,4.8,4.02,9.25,6.69,9,7.35,5.38,4.49,7.45,3.79,1.47,4.29,8.3,5.67,7.27,11.16,13.28,8.58,7.37,6.38,4.81,14.6,12.71,4.09,7.16,4.42,7.54,9.32,12.65,3.66,14.11,5.71,9.79,11.93,5.64,2.77,12.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,12.94,8.27,6.24,17.09,6.16,7.98,5.55,8.17,5.57,7.75,5.34,11.94,5.59,8.17,0.58,1.17,5.89,6.9,8.78,7.7,2.77,5.79,7.94,7.68,8.18,16.1,10.18,7.98,5.73,7.96,8.66,5.02,7.18,7.7,1.18,8.35,6.77,3,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,15.89,13.3,7.82,1.43,5.97,4.65,2.2,2.35,1.04,13.4,3.06,7.87,5.94,7.19,3.18,6.5,9.03,8.4,2.02,8.17,6.63,2.01,3.96,4.39,5.94,4.61,17.04,8.01,4.74,3.05,10.74,10.88,11.83,3.09,1.86,7.22,6.75,4,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,12.6,20.71,5.84,9.75,11.55,11.03,10.04,10.97,5.67,13.26,5.66,8.25,10.18,8.08,9.15,8.97,7.88,3.66,6.57,4.09,2.27,7.05,10.28,8.29,5.02,8.42,4.28,8.2,16.75,9.16,2.73,10.26,1.75,6.23,11.69,6.57,3.8,8,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,13.09,8.78,10.98,3.29,8.23,8.34,5.2,8.94,11.64,9.59,26.69,15.3,13.25,13.1,15.21,8.73,17.38,19.65,3.94,12.13,11.78,7.23,21.11,10.94,9.77,12.93,13.65,14.43,8.46,18.02,9.93,12.75,7.19,8.86,4.25,7.01,19.83,10,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,4.86,7.75,13.07,11.74,18.59,19.92,15.58,5.62,8.21,15.71,20.64,25.36,13.63,0.59,5.35,15.26,11.99,10.98,14.02,10.19,9.32,5.84,10.95,7.48,8.25,4.39,2.03,17.17,5.58,1.38,7.3,6.51,4.56,5.12,2.08,7.86,18.04,22.25,14.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,6.57,8.85,15.34,10.61,12.71,11.05,7.92,14.31,13.48,11.48,15.71,11.85,18.4,13.84,10.78,13.02,8.72,10.65,13.34,14.55,15.97,10.61,23.62,9.21,12.01,15.87,15.11,4.88,21.14,6.71,13.16,14.53,7.46,3.46,3.26,23.01,21.86,15.55,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
