BORROWDALE SEATHWAITE (Garden),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY234121,Long,-3.1827,Lat,54.4987,Elevation,422,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,16.81,17.07,6.29,9.67,24.96,7.34,28.63,27.65,23.12,19.61,4.11,9.96,15.12,13.72,23.4,23.79,9.88,16.78,20.65,13.23,13.84,25.99,15.66,13.54,17.43,14.08,11.95,32.14,28.64,20.82,22.88,10.91,25.65,17.06,3.34,4.77,1.26,11.4,21.92,22.51,11.36,15.79,12.11,8.32,12.36,21.8,11.34,14.44,6.9,,,-999,2.25,16.58,21.62,17.82,9.15,12.87,18.46,16.12,7.99,19.86,5.95,16.78,10.55,15.21,11.76,11.6,15.76,12.27,16.81,22.83,6,15.27,,19,25.95,9.8,13.5,10,11.1,19,,34,3.6,22.56,12.5,22.74,16.5,20.5,13,16,22,20,16.25,
February,,,,,,3.48,11.51,8.27,30.55,7.55,22.58,15.33,20.05,3.84,11.26,1.29,14.3,14.94,2.39,15.8,9.23,18.27,5.5,14.25,10.11,10.94,19.17,17.05,19.9,23.13,13.67,15.99,17.53,3.05,10.5,3.45,16.21,14.42,11.74,7.93,17.07,10.27,14.07,18.2,14.96,26.05,3.72,9.51,2.97,9.53,3.74,2.6,5.15,20.99,,,-999,12.71,16.9,9.36,7.98,5.41,3.72,21.12,10.96,7.79,9.32,8.66,9.45,11.38,22.13,20.61,7.7,10.73,20.94,20.39,12.95,1.94,20.73,,14.63,1.3,9.15,18.1,2.2,13.5,16,,14.8,4,1.8,14.05,0,15.75,2.5,25.5,6.5,19,6.75,21,
March,,,,,,13.21,17.85,2.53,11.36,5.51,4.13,9.36,0.98,4.59,10.13,9.19,1.61,10.37,10.5,20.84,17.15,26.08,10.3,8.31,12.14,6.44,13.05,8.32,27.24,3.21,9.51,10.26,11.23,7.3,14.24,5.66,12.8,7.74,8.06,12.14,7.16,15.52,13.78,6.77,13.98,14.86,9.93,4.52,9.62,8.88,12.73,8.35,3.29,8.67,,,-999,20.27,6.78,9.61,0.93,7.97,8.85,22.24,10.13,11.9,9.37,14.06,11.52,9,9.62,6.24,21.3,16.28,13.99,5.35,3.21,6.8,5.63,,16.55,20.05,7,5.1,2.3,4,7.2,,10.2,2.6,7.2,1.75,9.9,8.5,7.75,3.5,8.75,5,11.5,11.5,
April,,,,,,10.57,7.7,6.81,4.19,3.88,15.62,6.08,0.74,12.67,3.04,5.64,6.98,5.02,7.85,12.71,5.04,0.82,17.26,10.94,3.04,4.31,5.97,16.92,8.95,10.26,6.5,6.36,5.08,1.76,4.72,4.53,6.04,5.43,4.19,4.76,9.89,3.75,10.08,5,4.15,9.45,6.82,9.22,7.35,5.64,4.55,7.63,3.91,1.59,,,-999,7.34,11.51,13.49,8.8,7.48,6.51,4.96,19.53,12.88,4.05,7.11,4.35,7.49,9.21,12.22,3.67,14.15,5.62,9.67,12.27,5.66,,,10.95,2.4,3.85,8.1,5.75,14.5,7,,6,5.78,3.17,6.1,11.25,5,6.5,8.25,2.6,7.75,2,6.5,
May,,,,,,4.57,4.4,8.08,3.05,6.52,7.14,4.53,11.59,0.89,8.29,3.99,5.26,5.02,8.75,1.04,9.8,4.61,8.28,13.3,4.53,16.72,5.06,5.25,6.98,3.16,14.49,2.63,9.54,5.58,2.82,7.8,2.05,10.92,9.3,4.67,6.62,13.31,8.48,6.44,17.3,6.3,8.1,5.55,8.17,5.79,7.96,5.46,12.13,5.75,,,-999,5.89,7.08,8.88,7.62,2.99,5.68,8.02,7.03,7.88,16.06,10.11,7.89,5.65,7.89,8.76,5.06,7.11,7.73,1.18,8.44,6.63,,,12.05,5.35,6,9.33,10.12,12.4,6.13,,1.2,8.57,4.6,7.15,7.5,4.5,11.75,1.25,2,3.1,11.75,1.5,
June,,,,,,8.25,6.41,7.27,11.3,3.97,6.83,11.63,12.33,4.07,13.98,8.05,12.66,8.15,2.19,5.95,15.87,7.7,15.62,11.01,11.62,1.25,6.57,4.9,3.47,5.13,6.41,2.82,12.3,7.78,3.02,10.9,8.34,10.51,6.13,9.93,9.68,16.38,13.66,8.09,1.47,6.15,4.7,2.2,2.35,1.11,13.59,3.08,8.01,6.11,,,-999,9.15,8.65,1.95,8.22,6.68,1.95,4.05,4.74,7.76,4.58,17.01,8.02,4.66,2.98,10.96,10.9,11.86,3.11,1.81,5.9,6.47,,,6.6,1.76,8.1,5,8.2,0.4,5.04,,13.1,6.32,5.75,12.06,5.25,4,6,9,8,8.75,13.75,12,
July,,,,,,8.65,20.8,3.32,17.76,16.64,11.2,14.47,7.65,19.67,6.98,5.62,6.31,9.09,7.57,3.33,3.21,14.5,13.67,2.82,7.57,7.08,11.18,10.43,2.32,8.3,1.75,12.57,5.9,16.96,7.2,5.15,6.05,15.45,3.11,13.6,10.05,13.04,21.04,6.18,10.01,11.9,10.69,10.04,11.21,5.78,13.43,5.82,8.39,10.46,,,8.93,7.81,3.82,6.6,4.12,2.25,7.02,10.76,8.14,3.9,8.37,4.23,8.17,16.67,9.11,2.81,10.3,1.74,6.26,11.57,5.83,3.76,,,9.9,6.85,10,9.2,11.45,3.35,7.05,,15.15,13.33,6.24,16.25,10.5,10,4,7.25,15.5,7.75,21,14,
August,,,,,,15.61,10.58,10.48,13.91,9.92,16.22,13.16,12.37,10.47,10.63,10.82,7.61,5.25,7.82,13.38,13.91,25.2,12.81,9.79,9.72,13.06,12.69,13.05,13.7,4.51,2.68,9.1,9.34,18.73,18.6,7.87,9.77,11.79,9.51,12.99,4.15,13.53,9.05,11.33,3.36,8.36,8.72,4.75,9.3,11.92,9.79,26.99,15.57,13.58,,,8.82,17.62,19.3,3.93,12.05,12.64,7.28,21.1,11.67,9.72,12.89,13.59,14.38,8.35,17.94,10.05,12.65,7.17,8.91,4.17,6.14,18.55,,,8.29,14.45,10,21,10.2,10.2,9.25,,14.83,16.37,16.15,7.5,7.25,7,15,8.5,5,6,8.75,4,
September,,,,,,9.77,4.6,13.28,7,4.08,5.85,4.3,4.64,10.42,12.24,3.67,8.39,7.97,18.39,15.32,6.68,17.42,6.38,25.03,16.55,7.19,21.35,12.47,5.77,24.09,12.7,5.53,20.85,13.7,16.06,14.45,8.23,8.98,15.06,16.67,9.51,5.05,8.18,13.37,11.97,18.9,20.7,15.58,5.77,8.31,15.88,20.86,25.62,13.91,,,15.67,12.17,11.37,14.2,10.48,9.6,5.88,12.07,5.15,8.66,4.35,2,17.08,5.48,1.32,7.42,6.51,4.55,5.12,2.07,6.68,17.89,22.25,,9.8,3.25,9,13.35,16.25,7.95,11.81,,9.6,4.25,9.6,8.5,17,2,16.25,18,12,11,7.5,4.5,
October,,,,,,15.17,25.43,20.52,17.32,16.14,12.94,20.38,8.44,13.25,14.62,20,8.61,7.25,15.6,8.27,23.7,9.07,32.13,14.86,6.37,11.78,9.62,13.67,18.3,9.95,24.17,6.24,19.13,21.23,30.18,10.08,7.32,22.92,16.16,8.03,3.3,6.82,9.14,15.62,10.8,12.79,11.27,7.89,14.51,13.77,11.64,15.92,12.11,18.63,,,13.14,8.77,11.07,13.35,14.57,16.07,10.73,24.65,11.4,11.69,15.84,15.11,4.8,21.07,6.63,13.16,14.63,7.5,3.45,3.3,21.8,22.01,,,1.96,6.75,4.5,23,10,15.8,7.7,,20.5,16.75,25.01,10.3,19,9,21,24.5,15.5,6,29.25,4.75,
