BORROWDALE SEATHWAITE (Garden),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY234121,Long,-3.1827,Lat,54.4987,Elevation,422,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,
January,,,,,,12.44,24.86,10.4,12.24,15.57,10.45,9.91,31.8,28.62,20.77,22.8,10.98,25.65,17.25,3.54,4.75,1.19,11.85,21.4,23.39,12.53,15.88,11.1,8.13,12.11,21.77,11.07,13.96,7.09,21.66,5.57,11.09,2.25,16.06,21.9,17.67,8.87,13,18.56,16.64,8.7,19.9,5.8,16.81,10.65,15.4,11.87,11.62,15.74,12.27,16.8,21.05,6,15.85,16.95,20.34,30,10.5,15.3,12.3,13.7,20.1,17,35,3.71,21.75,11.25,18.32,,,,,,,,,,,,,,,,,,,,
February,,,,,,10.19,17.61,14.75,17.84,22.04,10.12,12,18.43,2.2,10.58,3.5,15.41,14.26,11.3,7.86,17.2,10.03,14.35,18.09,14.84,26.29,3.78,9.62,2.87,9.41,3.69,2.56,4.62,20.72,26.26,2.05,10.19,12.93,16.56,9.39,7.99,5.61,3.62,21.27,10.98,9.45,9.45,8.75,9.51,11.5,21.43,21.05,8,10.8,20.91,20.5,12.92,2.22,21.56,1.75,17,1.72,13.8,18.65,2.9,16.6,19,11,15.19,3.89,1.75,13.75,,,,,,,,,,,,,,,,,,,,,
March,,,,,,6.33,12.15,7.64,22.07,3,6.69,10.3,13,7.23,14.88,5.68,13.68,7.72,8.25,12.18,7.41,13.42,14.3,6.61,14,15,11.45,4.59,8.6,8.83,12.69,8.23,3.28,7.72,11.3,14.57,19.49,20.39,6.63,9.85,1.02,7.79,9.07,22.75,13.49,11.89,9.35,14.15,11.65,7.6,10.04,6.33,21.3,16.3,14,5.32,3.35,7.15,5.94,10.85,19.66,26,8.2,6,3,4.7,7.92,12.5,10.68,2.15,6.84,1.6,,,,,,,,,,,,,,,,,,,,,
April,,,,,,3.35,5.5,15.49,7.47,8.14,5.45,4.18,5.36,2.07,4.3,4.54,6.15,5.56,4.1,5.05,9.68,3.75,10.12,5.8,4.23,9.05,7,9.04,7.31,5.6,4.54,7.56,3.9,1.43,4.37,8.52,5.78,7.49,11.21,13.54,8.98,7.91,6.57,5.06,15.27,10.45,4.15,7.2,4.4,7.65,9.3,12.58,3.69,14.17,5.7,10.17,12.4,6.07,2.75,7.75,13.8,2.7,4.6,9.3,6.9,16,8,10,6.26,5.9,4.12,5.9,,,,,,,,,,,,,,,,,,,,,
May,,,,,,15.33,4.45,4.41,6.44,2.8,11.98,2.74,9.87,5.96,2.97,7.63,2.08,10.9,9.32,4.7,6.58,13.86,8.5,6.58,17.19,6.22,7.94,5.1,8.12,5.74,7.84,5.4,12.23,5.66,8.41,0.58,1.15,5.91,6.93,9.02,7.95,3.02,5.82,8.3,7.79,8.2,16.13,10.17,7.94,5.55,7.95,8.78,4.76,7.19,7.76,1.32,8.4,7,3,2.25,14,6.5,8.65,10.65,12.3,14.6,7.44,7.5,1.26,8.5,4.2,6.95,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.1,6.47,4.02,3.26,5.17,6.5,2.5,12.6,7,2.72,11.12,8.4,10.83,6.04,10,9.75,16.5,13.87,6.24,1.34,6.06,4.78,2.34,2.33,1.05,13.6,3,7.94,6.03,7.24,3.04,6.82,9.21,8.5,1.98,8.37,6.9,2.02,4.05,4.85,7.21,4.6,17,7.89,4.58,3.17,10.87,10.98,11.89,3.14,2.22,7.68,6.75,4,5.35,7.7,1.25,9.9,5.9,10.4,0.46,9.15,11,13.77,5.77,5.2,11.75,,,,,,,,,,,,,,,,,,,,,
July,,,,,,6.64,10.72,9.7,2.25,8.5,1.79,9.62,6.1,16.99,7.17,5.2,6,15.8,3.2,13.89,10.21,13.19,21.47,6.22,11.34,11.38,11.31,9.25,11.5,5.73,13.44,5.8,7.68,10.38,8.4,9.3,9.12,7.95,3.7,6.82,4.17,2.3,7.28,10.62,8.36,5.23,8.3,4.3,8.1,16.81,9.7,2.93,10.37,1.78,6.3,11.8,6.76,3.75,8,2.5,13,7,11.5,9.78,14,3.7,11.08,11.5,15.86,13.87,6.1,15.9,,,,,,,,,,,,,,,,,,,,,
August,,,,,,11.96,11.24,13.03,13.05,3.35,1.5,7.43,9.73,18,18.05,8.16,9.98,11.5,9.5,13.06,4.25,13.66,9.14,11.26,3.39,8.36,8.6,4.28,9.2,11.81,9.82,26.55,15.5,13.2,13.34,15.49,8.96,18.03,19.63,3.98,12.45,12.05,7.42,21.16,10.39,10.56,12.87,13.62,14.34,8.41,18.61,10.38,13,7.2,8.62,4.32,7,18.6,10,6.3,9.1,18,10.65,22.6,12.8,11.38,8.1,15.5,14.74,16.18,15.15,7.2,,,,,,,,,,,,,,,,,,,,,
September,,,,,,6.97,20.28,11.75,5.34,21.51,10.9,5.45,22.62,12.2,16.46,13.85,8.35,8.93,14.95,16.79,9.74,5.08,8.42,13.22,12.33,18.92,19.83,15.42,5.73,8.27,15.86,20.89,25.67,13.62,0.58,5.43,15.78,12.36,11.18,14.45,10.54,9.65,6.09,12.25,7.95,8.61,4.4,2,17.05,5.64,1.44,7.77,6.55,4.56,5.13,2.1,7,18.39,22.25,15.3,11.7,4,10.7,16.7,19.9,9.2,12.3,18.5,10.5,4.68,8.75,7.95,,,,,,,,,,,,,,,,,,,,,
October,,,,,,9.48,9.06,12.48,15.63,8.4,19.88,6.28,19.63,21.3,30.35,11.22,7.15,23.26,16.34,8.62,3.33,6.85,9.23,15.71,10.76,13.3,11.23,8.53,14.6,13.75,11.62,15.82,11.89,18.82,13.95,11.04,12.87,8.8,10.53,13.49,14.62,16.37,10.91,25.1,9.51,11.86,15.8,15.56,4.9,21.2,6.4,13.2,14.7,7.5,3.41,3.38,26.81,23.75,21.85,2.6,2.4,7.7,5.9,26.8,11.7,16.3,8.25,15,20,18.25,23.01,9.75,,,,,,,,,,,,,,,,,,,,,
November,,,,,,12.49,21.4,2.04,8.46,20.14,6.87,11.05,17.77,9.7,13.06,12.35,8.4,29,5.71,3.81,23.05,16.9,18.82,20.14,6.73,10.75,15,8.58,22.56,6.78,25.57,13.8,11.69,11.76,18.52,11.74,4.32,21.36,16.86,16.12,10.09,16.05,9.65,10.91,11.25,13.67,13.8,11.5,12.25,9,10.05,18.04,15.79,13.8,22.94,6.19,19.4,16.65,10.55,12.6,9.7,5.7,6.7,22,16,4.7,19.03,16,26.6,29.6,14.25,22.76,,,,,,,,,,,,,,,,,,,,,
December,,,,,,10.33,22.97,10.25,24.28,14.41,7,21.79,19.34,11.96,6.98,14,18,18.15,5,12.76,14.37,14.9,12.39,15.56,19.49,7.45,19.13,9.42,17.24,16.29,1.2,24.87,8.59,22.87,13.5,14.37,19.49,20.98,24.74,9.05,27.31,15.57,15.52,13.67,16.01,11,11.8,19.21,12.2,19.2,21.4,27.1,23.42,14.2,18.42,21.27,9.7,8.53,23.4,19.55,12.8,27.35,20.2,13,25.6,12.6,5,4.5,12.29,24.02,11.75,13.65,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,106.61,166.71,115.96,138.33,133.03,99.13,103.25,186.25,143.23,148.29,120.05,114.58,181.56,110.96,112.26,120.32,129.33,152.46,146.83,139.03,145.31,135.93,97.27,118.19,105.37,141.64,145.55,126.95,139.3,147.53,101.7,125.06,147.66,152.53,129.59,131.16,112.09,96.97,173.7,132.49,116.83,130.55,129.26,127.04,127.79,134.89,150.9,144.18,125.13,128.6,105.39,142.47,124.86,149.15,103.75,151.2,137.92,121.3,176.68,147.8,123.94,135.37,150,182.15,136.52,122.87,128.41,,,,,,,,,,,,,,,,,,,,,
