BORROWDALE SEATHWAITE (Garden),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY234121,Long,-3.1827,Lat,54.4987,Elevation,422,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3628/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,18,15.5,2.85,4.5,8,18.75,21.5,11,20,14,18,12.5,12,11.5,12.25,8.5,10,11.5,7,17.25,13.5,10.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,6.5,19.75,8.75,12.5,3.6,12,4.75,15.5,10.75,2.5,8.75,11,14.25,12.5,4.75,7,8.5,3.5,3,9.25,14.5,6.5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,10.25,10.75,15.75,5,8.5,4.75,2,10.5,7.25,9,12,5,10.5,11.75,7.75,3,9.25,3.5,5,11,4,8.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.75,6.25,4.75,6.5,7.25,8.5,5.5,3.5,4.25,14,5,15.5,11,7.5,7.75,6.75,3.5,6.75,3,4.5,4.5,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,11.5,1.25,1.75,8,9.5,9.75,7.25,12,2.75,4.5,5.5,6.2,3.5,2.5,6,3.75,4,8.5,9.25,5.4,9,2,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,13.25,11.75,1.75,1,2,8.25,11.75,9,11.75,5.75,15,2.5,9.5,2.25,7.75,4.75,14.5,7,4.25,4.75,7.5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,20,13.5,11.5,4,10.5,8.25,5,8,12,7.5,8,6.25,9,11,7.75,14.5,13,5.5,12.5,11,8.75,12,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,8.5,4.75,7.75,15.5,13.5,19,10.25,3,13.75,0,12.5,8,17,13,17.75,11,11.5,4.25,17.5,13.5,9,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,7.25,5,13.5,3,16,15,12.75,11.5,24,11.25,15,5.5,27,17,11,25.5,20.5,9,6.25,14,12,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,28,4.5,14.5,13.5,18.5,15.25,12.25,12.5,1,2.5,11.5,12,11.25,2,9.5,8.25,26.5,9,13.75,19,20,14.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,19.5,23.5,14.25,8.75,3.5,9.25,20,1.25,23,25.75,14,18.5,12.5,24.5,5,23,27,4.75,6.25,5.25,3.75,16,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,10,5,15,9.5,19.5,5.25,10.5,9.5,14.25,9.75,12.5,23.5,6,23.5,10.5,8.25,17,17.25,19,17,10.5,28,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,154.5,121.5,112.1,91.75,120.35,134,123.5,107.25,144.75,106.5,137.75,126.45,143.5,139,107.75,124.25,165.25,90.5,106.75,131.9,117,114.7,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
