"LIVERPOOL, HOPE STREET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ355896,Long,-2.971526,Lat,53.399267,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,3.23,1.56,4.27,2.48,1.58,0.73,3.05,1.41,3.4,1.13,1.82,,1.17,1.37,1.65,3.19,4.04,2.12,2.37,1.93,2.28,1.25,,,,
February,,,,,2.47,2.53,0.91,0.63,1.13,2.3,0.62,0.11,1.95,3.14,3.37,,1.02,2.23,1.99,1.62,3.28,1.49,1.83,1.96,4.27,1.36,,,,
March,,,,,2.31,1.98,2.26,1.4,2.38,2.24,2.01,0.94,1.52,0.48,1.67,2.51,3.3,2.24,0.73,1.33,1.15,1.73,1.37,3.33,1.66,3.51,,,,
April,,,,,1.01,1.66,1.33,0.94,1.05,3.08,1.29,1.66,1.34,0.4,1.86,1.95,1.1,2.33,1.63,2.15,1.29,1.85,2.22,1.8,1.18,2.24,,,,
May,,,,,1.35,1.44,4.67,2.18,0.87,2.2,1.78,1.83,2.7,1.52,2.1,0.81,0.64,1.53,3.3,3,1.61,0.94,4.18,3.01,2.16,0.52,,,,
June,,,,,1.64,2.19,1.16,1.48,2.66,1.07,2.3,4.17,4.51,1.82,2.24,1.1,2.71,3.21,2.73,1.87,2.53,2.03,1.91,1.81,1.39,2.28,,,,
July,,,,,3.89,2.12,3.73,1.5,6.09,3.59,2.54,3.3,2.73,2.85,3.02,4.04,2.5,0.88,0.59,2.58,1.31,1.73,2.3,2.57,1.59,1.95,,,,
August,,,,,2.65,1.54,1.69,1.7,2.93,4.83,2.74,4.58,4.19,2.47,3.93,2.24,3.12,3.77,4.31,1.39,7.87,3.01,2.63,3.67,4.65,3.43,,,,
September,,,,,2.64,5.04,3.22,4.72,1.14,2.42,1.5,3.51,3.28,4.13,0.86,1.37,4.32,4.74,1.14,3.65,0.89,0.95,1.12,5.05,2.35,1.83,,,,
October,,,,,1.57,6.44,4.39,2.56,1.67,3.39,2.85,2.81,7.05,2.31,3.91,5.23,3.29,1.62,3.36,2.69,4.2,3.44,3.35,8.19,1.62,2.79,,,,
November,,,,,2.26,3.13,2.64,1.16,4.89,2.66,5.97,3.32,2.19,1.4,1.93,2.65,1.42,2.23,1.6,1.25,3.31,2.98,1.94,3.2,2.25,3.59,,,,
December,,,,,2.57,1.83,4.49,2.36,1.51,2.8,0.74,4.16,1.98,3.21,2.66,2.53,3.88,5.03,1.89,2.96,2.66,3.33,2.51,1.57,2.9,0.48,,,,
Total,,,,,27.59,31.46,34.76,23.11,27.9,31.31,27.39,31.8,36.84,24.86,29.37,,28.47,31.18,24.92,27.68,34.14,25.6,27.73,38.09,28.3,25.23,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884 gauge on top of 12' wall but moved to ground level Feb 1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
