"EGREMONT PARK HOUSE, BIGRIGG",,,,,,,,,,
Grid ref,NX996131,Long,-3.5519525,Lat,54.503241,Elevation,290,ft,,
Station no,RR7610,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,4.09,1.21,4,1.54,3.33,1.1,3.59,
February,,,1.32,5.63,5.3,0.27,2.28,2.3,3.8,
March,,,2.33,1.78,2.13,4.92,5.22,6.43,1.68,
April,,,1.81,0.87,2.25,2.34,2.53,2.86,4.07,
May,,,3.74,3.02,4.57,0.81,0.81,2.67,3.98,
June,,,4.12,2.37,4.14,1.66,3.24,6.03,3.08,
July,,,3.3,4.3,3.96,5.66,6.54,1.84,0.74,
August,,,9.15,6.93,5.38,7.1,3.47,5.41,8.04,
September,,,6.53,3.35,0.36,2.11,5.84,4.45,3.28,
October,,,5.08,6.38,3.76,5.73,5.06,3.59,4.29,
November,,,3.52,2.8,6.66,4.78,2.13,7.07,3.95,
December,,,3.24,5.39,5.51,3.76,5.78,6.94,4.89,
Total,,,48.23,44.03,48.02,40.68,46.23,50.69,45.39,
