"SHEFFIELD RANMOOR - 10"" gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK315860,Long,-1.528044,Lat,53.369931,Elevation,610,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,5.92,3.8,2.2,3.81,1.84,5.81,4,1.61,0.2,0.56,4.83,5.31,5.43,2.98,4.97,2.48,0.99,1.7,4.17,2.5,,,,,,,,
February,,,3.41,1.38,2.21,1.3,4.5,3.77,1.46,3.62,3.79,5.45,3.17,3.4,2.66,4.47,0.83,0.84,1.68,2.36,1.21,0.1,,,,,,,,
March,,,3.35,4.21,4.83,1.09,6.67,3.06,1.61,1.86,2.94,5.3,2.96,1.87,2.53,2.33,3.69,2.48,3.41,5.27,3.15,2.79,,,,,,,,
April,,,4.7,1.14,2.34,1,2.39,2.85,3.06,3.31,1.64,1.09,4.98,3.42,2.56,2.77,2.54,1.39,3.02,4.88,1.39,3.12,,,,,,,,
May,,,2.78,4.51,3.83,2.21,1.5,4.79,4.52,2.81,2.54,2.65,1.88,1.99,2.1,3.87,8.38,2.7,0.99,4.84,3.64,4.49,,,,,,,,
June,,,5.64,2.61,1.39,3.88,3.36,2.61,2.56,5.85,3.85,2.89,6.11,3.21,2.13,3.79,1.1,0.52,3.47,0.33,2.43,4.1,,,,,,,,
July,,,8.35,2.88,1.4,4.39,2.02,2.46,1.48,4.02,5.89,2.38,6,3.43,3.69,0.91,3.59,1.57,5.81,3.18,3.29,1.92,,,,,,,,
August,,,3.86,3.4,3.6,4.48,2.22,5.35,7.18,3.93,2.34,6.25,3.18,2.19,1.87,2.55,1.88,2.13,3.17,3.29,4.18,4.02,,,,,,,,
September,,,5.59,3.92,2.33,4.2,4.84,3.21,2.44,2.73,5.97,4.38,2.41,5.84,2.1,4.62,1.97,2.88,1.14,2.64,1.73,2.7,,,,,,,,
October,,,7.52,2.81,4.5,7.95,2.98,3.64,3.83,1.61,7.35,4.96,7.01,4.52,1.84,8.34,5.91,3.01,1.04,5.22,2.2,4.93,,,,,,,,
November,,,5.42,3.47,3.6,5.47,3.88,4.93,3.09,1.83,3.59,4.73,5.63,3.64,1.54,2.7,1.8,2.6,6.95,1.23,5.56,3.79,,,,,,,,
December,,,4.71,0.7,3.04,1.5,8.65,3.49,2.01,2.28,4.56,4.63,6.55,2.22,4.06,1.42,6.09,3.1,2.2,1.68,1.09,6.64,,,,,,,,
Total,,,61.25,34.83,35.27,41.28,44.85,45.97,37.24,35.46,44.66,45.27,54.71,41.04,32.51,40.75,42.75,25.7,33.87,36.62,34.04,41.1,,,,,,,,
