"MINWORTH GREAVES",,,,,,,,,,,,
Grid ref,SP165923,Long,-1.758216,Lat,52.528324,,,,,,,
Station no,2487,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.68,2.16,0.88,1.01,2.18,3.55,1.08,2.18,3.53,5.42,,
February,2.29,0.46,1.09,2.26,2.63,0.63,2.32,3.65,0.20,2.17,,
March,3.90,2.53,1.57,2.08,3.05,0.99,1.99,1.62,1.76,1.55,,
April,2.08,2.79,2.26,0.58,1.11,1.09,0.22,0.71,3.30,0.93,,
May,3.16,2.43,1.74,1.94,4.81,0.50,1.20,1.82,0.71,0.93,,
June,1.03,1.82,2.18,3.47,2.70,2.23,0.90,4.62,0.66,2.92,,
July,1.06,0.50,2.67,3.27,0.35,2.62,3.17,4.58,1.45,3.19,,
August,4.49,3.07,2.14,4.62,0.63,5.57,4.39,4.90,2.41,3.42,,
September,2.23,1.31,2.53,1.26,1.94,2.47,3.94,3.07,0.20,4.99,,
October,0.64,3.56,2.38,3.10,1.42,1.27,1.07,2.23,2.33,4.99,,
November,5.26,2.29,1.13,4.80,1.98,0.73,1.84,2.00,3.38,3.45,,
December,2.19,2.58,1.28,1.81,1.86,3.66,2.24,2.93,3.70,3.51,,
Total,31.01,25.50,21.85,30.20,24.66,25.31,24.36,34.31,23.63,37.47,,
Calc annual,31.01,25.50,21.85,30.20,24.66,25.31,24.36,34.31,23.63,37.47,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
