READING THE CEDARS LONDON ROAD,,,,,,,,,,,,
Grid ref,SU720729,Long,-0.965256,Lat,51.450517,,,,,,,
Station no,RR7161,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.66,0.63,1.54,0.72,,
February,,,,,,,2.12,1.48,0.86,0.32,,
March,,,,,,,1.31,1.02,2.70,3.16,,
April,,,,,,,0.62,2.56,4.30,2.10,,
May,,,,,,,2.20,1.47,1.43,1.54,,
June,,,,,,,2.45,2.31,0.95,5.61,,
July,,,,,,,0.40,1.96,1.63,2.90,,
August,,,,,,,0.65,1.38,2.88,2.06,,
September,,,,,,,0.88,0.93,1.94,3.07,,
October,,,,,,,4.65,4.89,1.66,4.45,,
November,,,,,,,3.40,2.18,0.87,0.54,,
December,,,,,,,2.37,3.53,2.44,2.57,,
Total,,,,,,,24.71,24.34,23.20,29.04,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,24.71,24.34,23.20,29.04,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
