READING-THE-CEDARS-LONDON-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SU720729,Long,-0.96525631,Lat,51.450517,Elevation,151,ft.,,,,,,,,,,,,
Station no,RR7161,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,3.66,0.63,1.54,0.72,2.08,,,,,,,,,
February,,,,,,,2.12,1.48,0.86,0.32,2.84,,,,,,,,,
March,,,,,,,1.31,1.02,2.7,3.16,0.9,,,,,,,,,
April,,,,,,,0.62,2.56,4.3,2.1,1.65,,,,,,,,,
May,,,,,,,2.2,1.47,1.43,1.54,1.58,,,,,,,,,
June,,,,,,,2.45,2.31,0.95,5.61,5.01,,,,,,,,,
July,,,,,,,0.4,1.96,1.63,2.9,2.23,,,,,,,,,
August,,,,,,,0.65,1.38,2.88,2.06,2.27,,,,,,,,,
September,,,,,,,0.88,0.93,1.94,3.07,0.28,,,,,,,,,
October,,,,,,,4.65,4.89,1.66,4.45,3.62,,,,,,,,,
November,,,,,,,3.4,2.18,0.87,0.54,3.29,,,,,,,,,
December,,,,,,,2.37,3.53,2.44,2.57,4.14,,,,,,,,,
Total,,,,,,,24.71,24.34,23.2,29.04,29.89,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is The Cedars also Kendrick School. Altitudes match.,,,,,,,,,,,,,,,,,,,,
Gauge moved about 800m ENE at the end of 1910,,,,,,,,,,,,,,,,,,,,
