"CARDIFF WW (LLWYNON RESERVIOR)",,,,,,,,,,,,
Grid ref,SO012115,Long,-3.433983,Lat,51.793396,,,,,,,
Station no,4148,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.72,7.65,2.45,4.19,-999.00,9.29,8.84,6.01,7.96,8.48,,
February,7.37,2.16,3.44,6.74,2.81,0.93,8.63,9.40,0.56,9.29,,
March,6.77,4.36,5.28,5.42,3.35,3.51,7.65,1.68,6.58,3.35,,
April,6.11,4.50,4.17,2.01,3.04,1.64,0.44,1.84,6.63,5.59,,
May,3.29,5.02,3.72,3.75,6.50,1.61,2.85,5.55,1.96,2.03,,
June,1.55,4.47,2.18,6.16,7.52,3.22,1.26,4.83,2.89,3.65,,
July,1.67,3.02,7.38,6.42,1.75,6.61,6.20,4.89,5.37,8.04,,
August,9.57,8.91,6.45,6.83,1.91,6.36,4.95,6.54,1.29,6.09,,
September,5.47,4.00,6.75,8.78,3.41,6.86,9.84,10.89,0.53,6.57,,
October,1.82,7.44,4.60,13.31,3.39,2.55,6.03,8.58,7.69,8.31,,
November,13.89,4.16,6.10,13.30,5.74,2.65,3.10,3.31,10.37,16.74,,
December,8.50,6.47,2.15,7.54,10.41,8.20,7.10,7.10,16.01,10.27,,
Total,74.73,62.16,54.67,84.45,54.89,53.43,66.89,70.62,67.84,88.41,,
Calc annual,74.73,62.16,54.67,84.45,49.83,53.43,66.89,70.62,67.84,88.41,,
Difference,0.00,0.00,0.00,0.00,5.06,0.00,-0.00,0.00,0.00,0.00,,
