BOSTON,,,,,,,,,,,,
Grid ref,TF320440,Long,-0.035531,Lat,52.977102,,,,,,,
Station no,RR6508,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.75,0.83,0.81,0.65,,
February,,,,,,,2.40,1.12,1.33,0.45,,
March,,,,,,,1.93,1.65,2.02,3.19,,
April,,,,,,,0.29,1.69,2.12,1.35,,
May,,,,,,,1.12,2.86,1.72,1.01,,
June,,,,,,,2.16,1.55,1.53,3.65,,
July,,,,,,,0.35,2.01,3.22,3.96,,
August,,,,,,,1.80,1.93,1.78,2.62,,
September,,,,,,,0.84,0.63,2.30,1.82,,
October,,,,,,,4.37,3.93,0.89,3.67,,
November,,,,,,,2.89,1.99,1.14,0.62,,
December,,,,,,,2.08,2.67,1.21,3.96,,
Total,,,,,,,22.98,22.86,20.07,26.95,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,22.98,22.86,20.07,26.95,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,,
