BOSTON - CLARKE - later site,,,,,,,,
Grid ref,TF327441,Long,-0.025,Lat,52.978,Elevation,13,ft
Station no,RR6508,,,,,,,
,,,,,,,,
,1912,1913,1914,1915,1916,1917,1918,1919
January,,2.98,1.51,2.28,0.93,,,
February,,0.69,0.73,2.08,4.24,,,
March,,2.31,2.55,1.29,4.20,,,
April,0.16,1.82,0.84,0.36,1.59,,,
May,2.35,2.05,0.87,1.79,1.66,,,
June,3.08,0.88,2.67,0.68,2.53,,,
July,4.09,0.82,1.12,5.54,1.69,,,
August,6.03,0.60,1.39,2.75,2.61,,,
September,1.36,1.56,1.18,1.01,1.25,,,
October,1.70,6.24,2.07,1.28,1.86,,,
November,2.34,1.74,2.28,2.65,3.07,,,
December,3.14,0.57,4.54,5.04,2.89,,,
Total,,22.26,21.75,26.75,28.52,,,
,,,,,,,,
TYRain_1910-1919_16_pt1/036,,,,,,,,
,,,,,,,,
# Exact location not determined. Approximate grid reference based on move of 1600 ft north-east from earlier site.,,,,,,,,
