BOSTON - CLARKE - earlier site,,,,,,,,
Grid ref,TF323438,Long,-0.031,Lat,52.975,Elevation,11,ft
Station no,RR6508,,,,,,,
,,,,,,,,
,1906,1907,1908,1909,1910,1911,1912,
January,2.75,0.83,0.81,0.65,1.42,1.69,2.72,
February,2.40,1.12,1.33,0.45,2.69,1.24,1.20,
March,1.93,1.65,2.02,3.19,0.57,1.98,1.93,
April,0.29,1.69,2.12,1.35,1.96,0.78,,
May,1.12,2.86,1.72,1.01,2.73,0.90,,
June,2.16,1.55,1.53,3.65,1.65,2.96,,
July,0.35,2.01,3.22,3.96,2.62,0.12,,
August,1.80,1.93,1.78,2.62,3.35,3.03,,
September,0.84,0.63,2.30,1.82,1.18,2.19,,
October,4.37,3.93,0.89,3.67,2.03,2.61,,
November,2.89,1.99,1.14,0.62,2.68,2.64,,
December,2.08,2.67,1.21,3.96,4.20,3.98,,
Total,22.98,22.86,20.07,26.95,27.08,24.12,,
,,,,,,,,
TYRain_1900-1909_17_pt1/080,,,,,,,,
TYRain_1910-1919_16_pt1/036,,,,,,,,
,,,,,,,,
# Exact location not determined. Approximate grid reference based on railway station and church directions.,,,,,,,,
# The directions tie up reasonably well with the 'midway between Black and Green Sluices' comment on the 1900s sheet.,,,,,,,,
#,,,,,,,,
# The gauge moved to a new site 1600 ft to the north-east in April 1912.,,,,,,,,
