"BATHGATE PETERSHILL NO 2",,,,,,,,,,,,
Grid ref,NS984695,Long,-3.626788,Lat,55.907842,,,,,,,
Station no,5154,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,3.21,,
February,,,,,,,,,,1.74,,
March,,,,,,,,,,4.94,,
April,,,,,,,,,1.65,2.84,,
May,,,,,,,,,2.52,2.19,,
June,,,,,,,,,1.44,2.26,,
July,,,,,,,,,2.70,3.34,,
August,,,,,,,,,3.18,2.54,,
September,,,,,,,,,3.71,2.00,,
October,,,,,,,,,1.12,4.97,,
November,,,,,,,,,2.23,1.42,,
December,,,,,,,,,1.24,3.82,,
Total,,,,,,,,,,35.27,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.79,35.27,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
