WITHNELL NO 1,,,,,,,,,,
Grid ref,SD633219,Long,-2.5572536,Lat,53.692247,Elevation,525,ft,,
Station no,2946/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,4.25,2.75,,,,,,,
February,,0.1,3.24,,,,,,,
March,,2.37,2.33,,,,,,,
April,,2.24,1.5,,,,,,,
May,,3.9,1.44,,,,,,,
June,,0.58,2.25,,,,,,,
July,,4.08,2.34,,,,,,,
August,5.09,1.43,2.72,,,,,,,
September,3.86,6.09,1.02,,,,,,,
October,2.89,7.1,4.28,,,,,,,
November,6.17,3.07,1.73,,,,,,,
December,2.08,1.81,0.56,,,,,,,
Total,,37.02,26.16,,,,,,,
,,,,,,,,,,
"Gauge abandoned 1933, new one started June 1932",,,,,,,,,,
