WYBERTON - TYTTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF329417,Long,-0.023,Lat,52.956,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2536/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.40,1.01,1.46,1.60,2.65,2.91,3.47,2.67,4.22,1.54,2.29,2.57,4.20,2.23,2.71,1.02,2.00,3.78,1.10,0.98,3.01,1.66,0.89,1.38,2.18,6.20,1.63,2.00,3.19,3.98
February,2.50,0.64,1.80,0.63,1.56,2.49,2.52,1.27,0.55,2.31,2.96,1.27,0.50,1.88,1.52,1.96,1.11,0.70,0.77,3.34,3.04,0.53,1.97,2.40,3.37,1.05,3.41,3.85,0.15,3.03
March,0.35,1.43,2.16,1.79,0.39,0.98,3.03,0.27,1.80,1.59,3.44,1.34,0.58,0.24,0.64,0.91,4.51,0.45,0.99,0.57,3.17,2.63,0.83,1.85,2.09,0.76,1.53,1.66,2.43,1.51
April,2.60,2.66,1.16,1.82,2.26,1.71,2.43,0.21,1.78,1.12,0.60,0.71,1.01,1.75,1.18,1.05,1.71,1.11,1.85,1.70,2.48,1.21,2.25,0.24,1.46,1.29,0.25,0.78,1.58,0.55
May,2.60,3.41,1.51,0.86,0.32,0.71,4.98,2.14,0.81,1.06,2.08,2.65,2.45,0.96,1.04,1.02,0.33,2.80,1.84,3.83,2.90,2.92,2.92,2.98,2.79,0.73,1.99,2.71,0.07,0.59
June,2.50,0.34,1.98,0.67,2.38,3.27,1.75,0.91,2.00,0.78,0.59,1.25,1.76,2.38,1.87,2.36,3.01,3.60,0.69,1.42,0.77,1.68,3.57,2.60,3.03,3.24,2.21,3.31,0.40,0.65
July,5.20,6.15,1.04,1.41,0.63,4.14,7.35,2.52,1.73,5.52,4.29,2.55,1.77,1.60,1.79,1.71,1.44,1.49,2.48,2.61,1.23,0.43,1.31,2.29,0.31,2.74,2.84,4.34,1.71,3.69
August,8.00,1.27,0.39,1.92,1.47,1.03,0.87,1.63,1.54,0.59,4.43,1.80,2.05,2.72,5.34,3.22,0.02,3.67,2.07,1.83,3.65,2.37,3.30,3.80,0.66,4.53,2.20,1.83,1.02,4.24
September,2.70,2.61,2.27,1.24,2.47,1.51,1.39,2.39,0.99,0.64,0.77,1.29,2.07,4.29,1.30,2.88,1.19,2.34,1.60,3.61,1.97,2.44,1.26,2.45,1.20,1.47,4.35,1.96,0.50,2.91
October,0.65,3.37,3.09,1.21,2.59,1.75,1.95,2.73,3.32,2.48,3.33,2.50,1.02,2.38,2.45,3.02,0.15,1.71,4.09,0.86,0.89,1.93,2.55,2.70,1.58,0.87,1.51,1.46,1.57,5.19
November,1.90,1.50,2.01,1.75,3.82,1.84,1.68,1.84,3.69,4.31,2.96,2.52,1.83,3.71,0.86,4.45,1.15,1.40,2.40,3.90,3.56,2.86,1.69,4.11,1.13,0.84,1.92,1.06,1.73,3.67
December,0.90,0.57,0.52,3.41,2.52,1.17,2.56,3.92,2.14,1.78,0.36,1.70,0.87,1.23,2.31,2.27,1.95,2.49,1.31,1.61,1.20,2.09,0.89,2.39,1.70,1.41,2.06,2.80,3.55,4.92
Total,32.30,24.96,19.39,18.31,23.06,23.51,33.98,22.50,24.57,23.72,28.10,22.15,20.11,25.37,23.01,25.87,18.57,25.54,21.19,26.26,27.87,22.75,23.43,29.19,21.50,25.13,25.90,27.76,17.90,34.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1971 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
